name;Vitamin A Retinoläquivalent;Vitamin A Retinol;Vitamin A Beta-Carotin;Vitamin B1 Thiamin;Vitamin B2 Riboflavin;Vitamin B3 Niacin, Nicotinsäure;Vitamin B3 Niacinäquivalent;Vitamin B5 Pantothensäure;Vitamin B6 Pyridoxin;Vitamin B7 Biotin (Vitamin H);Vitamin B9 gesamte Folsäure;Vitamin B12 Cobalamin;Vitamin C Ascorbinsäure;Vitamin D Calciferole;Vitamin E Tocopherole;Vitamin K
Kartoffelpüree (Zubereitung Gastronomie);29;40;45;76;0;69;843;1360;332;206;0,7;17;10449;0,1;165;21
Aprikose Konfitüre;296;0;49;10;0;12;0;67;32;8;0,1;0;1100;0;92;1
Klarer;0;0;0;6;0;8;0;0;0;0;0;0;0;0;0;0
Gerste Perlgraupen;0;0;0;92;0;80;3100;5350;500;220;4;20;0;0;200;1
Lakritze;0;0;0;32;0;24;537;1237;84;72;0,6;4;1295;0;120;4
Westfälische grobe Mettwurst;0;3;3;775;1;213;2897;6530;530;469;2;2;0;0;363;15
Helle Zungenwurst Konserve;71;3;15;547;1;218;2236;5203;651;371;2;3;100;0;310;10
Schalotte roh;1;0;0;40;0;60;600;1100;110;200;0,9;17;13000;0;310;0
Cornflakes mit Zucker, Honig geröstet;154;0;26;46;0;51;1219;1986;121;60;2;3;242;0;159;3
Haferdrink;0;0;0;100;0,4;200;100;400;100;0;2;6;0;1,1;0;1,5
Spargel weiß gegart;518;0;87;61;0;70;670;987;484;44;2;48;9990;0;2263;45
Sojaerzeugnisse;267;0;45;603;0;151;1500;8933;934;502;24;100;4;0;1225;87
Marmorkuchen aus Rührmasse;89;194;209;33;1;84;251;1501;345;62;6;9;94;1;990;27
Weichkäse aus Ziegenmilch (45% Fett i. Tr.);100;280;297;45;2;460;1200;5567;310;200;5;50;1;0,7;400;0
Landjäger;0;5;5;416;2;177;2656;5456;366;232;1;2;0;0;343;9
Zuckererbsen frisch;408;0;68;170;0;150;2700;3300;750;160;3;33;25000;0;500;30
Weizen Grieß gegart;0;0;0;7;0;3;108;275;33;5;0;2;0;0;86;3
Feldsalat frisch;3900;0;650;70;0;80;380;713;200;250;1;30;35000;0;600;200
Hafer ganzes Korn roh;0;0;0;674;0;170;2370;5537;710;960;13;33;0;0;470;50
Weißbrot-Weizentoastbrot;21;16;20;93;0;124;724;1974;318;70;3;25;131;0;744;9
Walnüsse;48;0;8;340;0;120;1000;3167;820;870;19;77;2600;0;6040;2
Konfitüre Gelee Marmeladen;16;0;3;10;0;9;68;85;34;15;0;1;4042;0;165;1
Kiwi frisch;370;0;62;17;0;50;410;577;200;18;0,5;20;71000;0;500;10
Haselnusspastete;12;3;5;675;1;193;2433;5733;533;432;4;9;21109;0;1762;13
Lachs tiefgefroren;0;31;31;128;3;170;7500;10567;1020;818;7;20;1;16;2009;0
Pumpernickel;4;0;1;102;0;98;1329;2396;534;152;5;36;0;0;1004;31
Kaiserjagdwurst Konserve;1;3;3;655;1;176;2396;5496;450;411;2;2;21111;0;269;13
Mais-Vollkornfladenbrot;609;0;102;213;0;63;1287;2004;315;152;4;7;0;0;1219;27
Honig;0;0;0;3;0;50;130;213;70;159;0;0;2400;0;0;25
Vollkornbrot mit Sonnenblumenkernen;5;0;1;176;0;102;1443;2676;660;171;5,2;39;0;0;2520;30
Schaf Muskelfleisch;0;0;0;130;2,6;230;6000;10167;700;160;0;23;0;0;210;0
Rind Lunge frisch;0;55;55;90;3,3;340;4270;6887;1000;70;5,9;11;39000;0;500;0
Pak Choi frisch;425;0;71;30;0;40;400;633;200;110;0,5;83;26000;0;240;250
Champignon frisch;10;0;2;100;0;440;5200;5567;2100;65;16;25;4900;1,9;116;14
Knoblauchwurst einfach;0;5;5;143;2;139;2280;5163;202;76;1;1;3;0;300;5
Wurzelpetersilie frisch;30;0;5;100;0;86;2000;2433;130;230;0,5;22;41000;0;1700;50
Apfel Fruchtsaft;45;0;8;20;0;25;300;317;55;96;1;8;1400;0;501;0
Beerenobst;25;0;4;45;0;25;230;297;65;75;1,5;5;4000;0;666;10
