"name";"Eisen";"Zink";"Kupfer";"Mangan";"Fluorid";"Iodid"
"Mandeldrink gesüßt";100;0;4,3;0;0;100
"Füllung für Kalbsbrust";1345;58;3,7;102;116;1866
"Blattspinat gegart";3810;123;13,6;141;529;543
"Erdbeere frisch";960;24;1;120;225;120
"Tilsiter";400;115;30;100;40;3800
"Graupenblutwurst";14170;81;2,3;202;354;1539
"Schupfnudeln (Zubereitung Haushalt)";768;32;4,4;104;173;602
"Kasseler Rippenspeer roh geräuchert";1528;44;2,6;50;61;1134
"Limette Fruchtsaft";214;8;0;60;36;100
"Blumenkohl gedämpft";458;10;0,8;50;199;285
"Putenbrust gebraten, mit Soße (Zubereitung Großküche)";799;29;3,4;112;67;893
"Preßsäckel";1177;63;1,5;76;110;2055
"Vollkornbrot-Roggenvollkornbrot";2661;102;4,4;301;2287;2409
"Sauermilchkäse (Harzer) Magerstufe";300;17;10;17;7;1900
"Mandel süß Mehl";3220;93;1,1;934;1878;3267
"Rettich weiß frisch";800;30;8;37;50;265
"Pute Brust frisch";1000;40;1,5;130;30;1800
"Zwiebeln";221;42;1,8;44;126;184
"Grapefruit Fruchtsaft";331;25;1;41;13;173
"Orange Fruchtsaft";395;5;2,1;69;29;103
"Cabanossi Konserve";1201;44;1,1;77;55;2096
"Puffreis";1060;30;2;170;1500;1030
"Kartoffeln ungeschält roh gegart mit Küchenabfall";682;8;2,7;76;86;324
"Blumenkohl gekocht";380;10;0,8;46;80;233
"Walnuss europäisch";2500;680;3;880;1970;2700
"Rind Herz frisch";5130;60;30;410;60;2000
"Sardelle Konserve";2554;270;25;174;59;1370
"Hühnerei Eiweiß frisch gegart";151;77;6;118;38;20
"Konfitüre, Marmelade mit Fruchtzucker für Diabetiker";195;10;1;46;26;70
"Schinkentorte";1446;56;6,6;113;325;1520
"Sülzwürste";1564;64;2,7;106;104;2048
"Wiener Würstchen Konserve";909;43;2,4;66;68;1638
"Fenchelgemüse gedünstet (Zubereitung Haushalt)";2754;50;6,7;64;328;385
"Skyr";100;0;10;0;0;500
"Bierschinken-Pastete";1180;63;2,4;87;133;1750
"Parmesan";600;160;40;200;40;3600
"Köhler tiefgefroren gegart";510;42;156,1;54;18;720
"Rotkohl frisch gegart";381;11;5,1;41;91;182
"Bierschinken, Schinkenpastete";953;52;2,1;56;86;1697
"Brötchen-Weizenbrötchen";1325;43;2,1;180;511;924
"Curry-Bratwurst";781;38;2,1;62;82;1218
"Ricotta Vollfettstufe";380;90;10;700;25;1160
"Rind Gulasch (mager) frisch gegart";3322;85;0;87;24;6324
"Fleischwurst, Stadtwurst";776;39;2,2;61;66;1288
"Mettwurst grob";895;47;2,1;61;84;1573
"Schwartenmagen";4134;104;6,7;249;239;6347
"Brötchen mit Milch";1321;44;3,1;171;505;1007
"Pute Truthahn gegart";1326;38;1,4;95;34;1894
"Frischkäse Doppelrahmstufe";80;13;8;13;6;390
"Edamer";300;115;35;100;40;3800
"Seitan (braun)";311;16;9,2;68;170;260
"Bismarckhering Konserve, abgetropft";1127;230;2,6;208;78;775
"Tatar (Schabefleisch) frisch";2160;10;3;88;22;4290
"Moosbeere";900;50;2;140;100;200
"Pfälzer, Augsburger, Regensburger";1201;44;1,1;77;55;2096
"Weißer Fleischkäse";721;40;2,3;61;64;1295
"Schwein Rücken (Kotelett) (mittelfett) frisch gegart";2336;66;1,4;77;65;1541
"Bratkartoffeln (Zubereitung Gastronomie)";381;17;4,1;79;117;311
"Xylit";0;0;0;0;0;0
"Suppenhuhn Klein frisch gegart";1559;39;1,3;269;148;2951
"Brötchen-Weizenmischbrötchen";1794;69;2,1;246;1184;1341
"Pizza tonno (Zubereitung Gastronomie)";1091;49;5,9;138;425;560
"Haferflocken";4437;80;0,8;410;4934;3642
"Kondensmilch 10 % Fett";140;35;20;33;14;1000
"Mettwurst schnittfeste Gruppe";1160;46;1,1;76;65;2148
"Reisnudeln";700;0;0;78;498;740
"Kalbfleisch-Galantine";2501;26;1,2;137;44;3842
"Kabeljau frisch Fischzuschnitt";440;28;170;230;17;500
"Spätzle (Zubereitung Gastronomie)";754;35;2,3;77;169;554
"Wildbret-Galantine                     ";2499;42;1,2;133;59;2770
"Champignon Konserve gegart abgetropft";902;41;18,9;384;70;493
"Sprotte frisch";1900;350;55;80;27;1500
"Buchweizen Vollkorn";3100;170;0,6;700;3000;4000
"Rührei (Zubereitung Haushalt)";1623;93;9,7;117;27;1117
"Bratensoße dunkel Konserve";615;24;3;56;56;758
"Weizen Vollkornmehl";3400;90;2,7;630;3100;3400
"Puffmais";1700;30;0,5;170;320;1700
"Steinpilz frisch";1000;60;10;230;170;700
"Rucola roh";1425;22,8;1,9;133;475;380
"Rind, Schwein Hackfleisch frisch";1510;51;0,6;75;37;2896
"Knäckebrot-Roggenmischbrot mit Sesam";3007;133;6;394;2107;2387
"Spiegelei (Zubereitung Haushalt)";2002;113;10;141;32;1297
"Trinkmilch mit Kakao, Schokolade";372;27;6;156;265;552
"Kalbskopf im Darm                     ";3268;33;1,2;814;82;3314
"Ziegenmilch";70;15;4,1;35;10;350
"Graubrot-Roggenbrot mit Schrotanteilen";2146;100;3,3;359;1525;1817
"Croissant aus Blätterteig";1025;49;3,9;168;444;945
"Spitzkohl frisch";500;12;5;70;200;200
"Melassesirup dunkel";9200;100;0;430;20;900
"Weißkohl frisch gegart";389;11;5,2;32;93;164
"Kakaobohne, -masse";12500;120;2,8;3807;3000;5727
"Schwein Bauch (mittelfett) frisch";978;51;1;57;64;1794
"Maisbrötchen";2694;53;3,2;278;1418;1871
"Rind Bratenfleisch (mager) frisch gegart";3322;85;0;87;24;6324
"Kartoffelpuffer (Zubereitung Gastronomie)";573;22;5,5;99;148;448
"Sojabohnen reif frisch";10000;360;6,3;1200;2710;4182
"Weichkäse";300;100;20;70;30;3000
"Emmentaler Vollfettstufe";300;160;40;655;40;4600
"Johannisbeere schwarz tiefgefroren";1249;30;1;147;350;305
"Hefe-Weizenbier obergärig";1;1;1;40;30;20
"Rohwurst";971;50;2,3;67;81;1638
"Hafer";5800;95;8;410;3000;3204
"Brötchen mit Rosinen";1239;41;2,1;173;491;855
"Weißbrot-Toastbrot";1155;42;3,3;188;528;981
"Mandelmus pur";3700;85;1;800;1900;2400
"Grahambrot";2671;66;3,3;370;2141;2029
"Schlagsahne 40% Fett";60;10;6;18;3;270
"Rind Steak (mittelfett) frisch gegart";2761;83;0;95;27;4711
"Sülzen und Aspik";1648;18;1,3;104;31;2558
"Rosenkohl frisch";1100;10;0,7;65;260;590
"Vollkornbrot-Weizen, Roggenvollkornbrot";2769;83;4,4;343;2315;2247
"Haselnuss";3430;0;1;1600;3460;2080
"Hähnchenbrust paniert gebraten (zubereitet ohne Fett)";949;51;8,7;64;149;1004
"Sesam";10000;60;10;1460;1465;7775
"Graubrot-Haferbrot";2586;78;3,3;324;1775;1880
"Knoblauch gegart";1297;55;2,9;160;501;555
"Joghurt vollfett mit Fruchtzubereitung";107;13;6;17;8;383
"Rind Muskelfleisch";2160;60;0,1;88;22;4290
"Fleischkäse";818;43;2,5;69;72;1445
"Paprikaschoten frisch";750;20;2,3;71;100;180
"Kalbsleberwurst";7448;148;2,3;622;193;3758
"Graubrot-Roggenbrot mit Sonnenblumenkernen";2242;99;3,8;444;1461;1884
"Big Mac (Zubereitung Gastronomie)";1533;55;5,7;117;216;1539
"Broccoli frisch gegart";1175;10;14,9;128;249;611
"Grüne Bohnen gedünstet (Zubereitung Haushalt)";789;14;3,4;85;356;320
"Kartoffelwurst";780;34;2,4;85;113;1191
"Schwein Schinken";1128;60;3,6;59;75;1851
"Birne";260;12;1;90;50;230
"Schwarzwälder Kirschtorte";743;35;5,3;119;132;514
"Champignonleberwurst";6545;135;4,5;583;181;3187
"Bergkäse Vollfettstufe";300;160;40;200;40;5100
"Grützblutwurst";10268;45;2,4;155;547;1991
"Hausmacher Leberwurst Konserve";7378;146;3,1;630;165;3411
"Buchweizen Grieß";2000;80;0,5;700;1500;2500
"Paranuss frisch";3400;120;0,1;1300;600;4000
"Schafsmilch";90;20;10;95;16;500
"Schlagsahne 10% Fett";141;13;12;23;4;411
"Colagetränke (coffeinhaltig)";30;15;1,8;30;35;10
"Schweinekümmelmagen";1132;58;1,4;65;125;1894
"Geflügelmortadella gebacken";1331;16;45,3;54;43;2187
"Lachs geräuchert";947;33;37,9;201;22;891
"Gewürzgurken Sauerkonserve";412;19;2;72;142;138
"Parmesan Vollfettstufe";600;160;40;200;40;3600
"Brombeere frisch";900;24;0,4;108;849;190
"Marzipan";1538;29;0,7;286;624;875
"Vanillepudding (Zubereitung Großküche)";239;15;5,9;27;6;350
"Kaffee mit Milch (Getränk)";195;1;1,2;100;78;22
"Bregenwurst";8256;50;2,6;348;83;2295
"Ahornsirup";1200;80;0;74;3298;4160
"Edelkastanien (Maronen) Mehl";2199;17;0,2;383;1250;833
"Zucker";290;0;0;15;10;20
"Weizen Mehl Type 405";567;50;7,4;106;395;512
"Schokolade weiß";280;22;12;28;18;571
"Gefüllte Kalbsbrust";3151;41;5,4;172;172;3074
"Kartoffelbrei, Kartoffelpüree (Zubereitung Haushalt)";300;14;4,5;71;103;330
"Kohlrabi gegart";816;10;1,1;122;125;208
"Buchweizen gegart";1258;67;0,4;354;786;934
"Vanillezucker";290;0;0;15;10;20
"Röstbrotwürfel";1700;90;7;160;500;600
"Schinkenwurst";982;51;2,6;77;91;1598
"Vollkornbrot-Weizenvollkornbrot";2671;66;3,3;370;2141;2029
"Tiroler Schinkenwurst";1508;67;1,2;76;99;2708
"Leberpreßsack";5580;119;2,2;469;157;2964
"Milchschokolade";2300;50;5,5;1300;260;2000
"Rinswurst Konserve";1990;58;1,3;111;40;3657
"Quark Vollfettstufe";90;15;9;15;6;500
"Hausmacher Blutwurst";16962;29;2,1;111;87;1117
"Mischgemüse gedünstet, in Butter geschwenkt (Zubereitung Gastronomie)";1590;51;9,2;144;338;568
"Schinkenwurst roh";955;48;2,2;63;95;1615
"Kaffee (Getränk)";200;0;1;103;80;10
"Granatapfel Fruchtsaft";493;21;1;72;131;288
"Rote Rübe frisch gegart";823;19;0;79;146;269
"Radicchio frisch";1500;32;3,3;50;350;200
"Schwein Speck durchwachsen roh geräuchert";1030;48;1,1;54;61;1794
"Herzwurst";1899;56;2,6;149;83;1703
"Kalbfleischpastete";1795;44;1,2;113;108;2558
"Schokoladenkuchen aus Rührmasse";1566;42;3,1;300;402;993
"Geflügelfleischkäse";995;47;2;123;66;1710
"Kichererbsen reif gekocht";2745;16;9,2;262;987;1391
"Möhrensalat mit Zitronenmarinade (Zubereitung Haushalt)";1075;15;7;79;124;321
"Kochwurstpasteten";2433;45;1,3;154;46;3044
"Haferflocken gegart";1109;20;0,2;102;1234;865
"Blutorangen";186;5;0,8;51;35;63
"Weißbrote";1258;41;2,2;171;485;877
"Pecannuss geröstet";2100;128;4,7;1200;4560;5500
"Rotkohl Konserve";284;11;4;36;60;172
"Schwein Schnitzel (mittelfett) frisch";1090;59;1;53;77;2000
"Weizenfladenbrot";1258;41;2,2;171;485;877
"Getreideflocken";4606;37;4;530;4544;4060
"Geflügelbockwurst";999;47;2;123;69;1710
"Mangold frisch";2700;60;1;77;300;343
"Walnuss frisch";2500;680;3;880;1970;2700
"Brötchen-Haferbrötchen";2731;82;3,2;342;1875;1986
"Pistazie";7300;120;5;1180;464;810
"Jagdwurst Pastete";1066;58;3,6;80;123;1512
"Schwarzwälder Bauernwürstle";1043;55;2,4;69;90;1862
"Zuckermais Konserve abgetropft";400;22;4,8;72;175;850
"Mozzarella 30% Fett i. Tr.";100;0;150;0;0;2700
"Rotwein mittel Qualitätswein";600;12;10;40;200;130
"Kokosblütenzucker";3600;0;0;0;0;200
"Fischstäbchen paniert tiefgefroren";470;38;177;170;118;635
"Hühnerei Eiweiß";200;80;6,8;130;40;20
"Kartoffelchips (verzehrsfertig)";2300;30;10;730;460;972
"Blutpreßsack";7068;55;2,4;80;129;1815
"Broccoli gegart";1175;10;14,9;128;249;611
"Buchweizen Vollkornmehl";2200;70;2,5;900;2000;2500
"Weißkohl frisch";500;12;5,2;33;100;210
"Debreziner";1233;49;1,1;76;61;2137
"Natürliches Mineralwasser still";2;30;0,6;4;21;6
"Regenbogenforelle frisch";690;30;3,2;153;30;1090
"Buttermilch";100;20;5;10;4;500
"Joghurt mit Müsli";556;22;7;78;448;743
"Schwein Bratenfleisch (mittelfett) frisch gegart";2411;107;1,4;114;16;3947
"Matjeshering frisch Fischzuschnitt";1300;340;56;440;20;900
"Chili con carne (Zubereitung Haushalt)";864;22;1,5;78;101;931
"Eierteigwaren gegart";452;29;0,4;51;261;602
"Heidelbeere";740;2;1,2;97;840;108
"Gänsepresskopf";897;32;2,9;77;103;1681
"Bratkartoffeln (Zubereitung Haushalt)";372;13;3,7;75;103;293
"Erdnussmus";1800;131;13,1;530;1750;2600
"Rind Fett (Talg)";320;0;0;80;1;0
"Kürbissuppe (Zubereitung Haushalt)";373;16;3,7;55;135;130
"Schwein Speck gekocht geräuchert";1359;64;1,4;68;68;2242
"Rind Steak (mittelfett) frisch";1963;59;0,1;80;22;3978
"Rinderleber gebraten (Zubereitung Haushalt)";7146;138;13,5;3199;280;4925
"Schnittsalat (Blatt- Pflücksalat)";1400;100;3,5;100;250;500
"Kalbsleberwurst Konserve";7448;148;2,3;622;193;3758
"Hanfsamen geschält";5900;100;1,8;1100;2000;3700
"Mais Grieß";1000;60;2,5;75;106;410
"Butterkeks";1594;79;9;160;770;1417
"Sesamöl";100;0;0;0;0;0
"Buchweizenbrötchen";2403;56;3,2;255;1798;1766
"Weizen Grieß";1000;60;0,3;150;600;3300
"Geflügelteewurst";910;14;42,8;50;30;1800
"Broccoli frisch";1300;10;15;126;260;605
"Rosenkohl frisch gegart";775;8;0,9;58;220;416
"Tilsiter Vollfettstufe";400;115;30;100;40;3800
"Kantalupe roh";200;10;2;46;47;109
"Dinkel Vollkornmehl";9680;25;0,8;460;3261;3363
"Batate (Süßkartoffel) gegart";646;17;2,4;125;244;222
"Kaiserbrötchen";1794;69;2,1;246;1184;1341
"Pommes Frites tiefgefroren gebacken";552;12;4;86;93;420
"Broccoli tiefgefroren";1288;10;15,4;124;258;600
"Chiasamen";6800;100;2;1200;2300;4200
"Rind, Schwein Hackfleisch gegart";2155;72;1,5;102;45;3913
"Weizen Vollkorn";3309;90;2,7;459;3665;2690
"Brühwurst grobgekuttert (umgerötet)";1106;43;1,1;73;54;2054
"Avocado roh";440;51;3;390;186;644
"Leberpastete mit Champignons";5184;111;4,9;483;155;2813
"Hühnerei Eigelb frisch gegart";5548;30;11,3;324;98;3904
"Sahne";110;10;9;18;3;320
"Vollkornbrot mit Leinsamen";2889;101;4,6;305;2242;2372
"Reiswurst";776;38;2,3;79;391;1248
"Teewurst grob";1171;54;1;66;79;2060
"Hirse Vollkorn gekocht";2604;19;0,9;230;418;1028
"Trüffelleberwurst";6967;143;3,3;590;191;3365
"Johannisbeere schwarz Fruchtsaft";1087;26;1,1;131;301;270
"Löwenzahn roh";3380;70;3;260;920;830
"Graubrot-Roggenmischbrot mit Sauermilch";1535;85;3,3;191;1328;1248
"Brathähnchen Schenkel gegrillt";1796;44;0,4;263;22;1774
"Würfelpastete";5593;50;2,4;84;89;1673
"Mandarine Konserve abgetropft";283;14;1,6;103;37;125
"Bremer Pinkel";1405;26;2,4;153;955;1639
"Schokokeks glutenfrei";1454;45;9,1;248;640;1262
"Polenta (gebackener Maisbrei) (Zubereitung Haushalt)";309;23;2,7;45;34;176
"Linsen reif Mehl";7746;27;1;738;1446;3853
"Tomaten Gemüsesaft";560;13;0,7;120;8;86
"Mangold frisch gegart";2518;67;1,2;91;336;320
"Rindfleischsülze";2132;59;1,2;88;28;4034
"Vollkornbrötchen allgemein";2679;69;3,5;359;2252;2089
"Salatsoße (Zubereitung Haushalt)";693;10;0,9;76;236;143
"Mandel bitter roh";3110;90;1,1;902;1814;3156
"Gerste Rollgerste (grobe Graupen)";2000;240;1;400;1300;2100
"Creme, Schmand 20% Fett";130;11;11;23;4;400
"Frischkäse mit Kräutern Doppelrahmstufe";80;13;8;13;6;390
"Bulgur";4700;50;0,2;560;2000;3000
"Schwein Speck durchwachsen (Frühstücksspeck)";1464;42;3,1;52;59;1093
"Schinken-Käsepastete";1348;72;9,2;80;80;2306
"Westfälinger";1210;63;2,4;72;107;2142
"Aalrauchmettwurst";1169;63;2,7;77;113;2053
"Baguette";1325;43;2,1;180;511;924
"Schweinskopfwurst";1096;60;2,4;55;90;1765
"Schafskäse";650;110;25;80;35;2000
"Mohn gemahlen geschrotet";9598;40;10;162;6062;10104
"Vollkornteigwaren gegart";1324;17;0,9;208;114;1358
"Cervelatwurst IA und fein";1501;62;1,3;84;96;2768
"Kabeljau (Dorsch) gegart";450;34;133,6;249;20;602
"Geflügelsalami";1328;43;3,8;154;86;2528
"Hausmacher Sülze Konserve";797;43;1,2;49;77;1436
"Kuhmilch";50;17;7,5;15;5;380
"Knoblauchwurst, Cabanossi";1137;41;1;72;51;1986
"Vollkornteigwaren eifrei";3900;40;1,9;510;264;3000
"Lauchzwiebel gebraten (zubereitet ohne Fett)";1255;42;2,1;84;241;1046
"Lammfleisch Cervelatwurst";1770;24;1,3;136;70;3702
"Spargel frisch gegart";545;48;6,7;165;103;336
"Aprikose roh";650;10;0,5;134;167;102
"Flohsamenschalen";7800;100;2,3;1400;2600;4800
"Paniermehl";1200;60;2,8;120;600;900
"Ente Fleisch mit Haut frisch gegart";2624;44;1,5;262;51;2012
"Teigwaren (allgemein) Schnitt-, Bandnudeln";1600;80;0,6;150;730;1600
"Ananas frisch";400;14;1,4;80;110;260
"Hirschpastete";2433;45;1,3;154;46;3044
"Vollkornkeks";4279;111;17;303;2659;2646
"Limonaden koffeinhaltig";30;15;1,8;30;35;10
"Roggen Flocken";3700;150;7,2;295;2670;2480
"Weizen Kleie";16430;156;2,4;1315;13031;9215
"Erdkirsche Konfitüre";552;6;0;52;135;53
"Passionsfrucht - Maracuja frisch";1300;20;1,3;120;120;250
"Schinkenmettwurst";944;50;2,4;69;88;1661
"Rotbarsch frisch gebraten Fischzuschnitt";700;215;76,3;27;18;572
"Graubrot-Roggenbrot";2059;100;3,3;362;1428;1739
"Kohlrübe frisch";450;30;4;80;66;94
"Haifischöl";30;15;120;20;10;200
"Schwarze Bohnen roh";5000;0;1;700;1700;3600
"Apfel";248;9;0,8;52;43;38
"Rosenkohl gegart";775;8;0,9;58;220;416
"Blauschimmel Rahmstufe";140;150;9;70;35;5100
"Rind Brust (Spannrippe) (fett) frisch";1943;50;0,5;79;18;4218
"Schweinerückenpastete mit Mürbeteig";1834;58;1,2;77;117;1394
"Limburger Vollfettstufe";291;97;19;68;29;1943
"Kürbiskernmehl";12000;100;2,7;2200;6100;12000
"Sauerkirsche Fruchtsaft";597;19;0,2;104;81;104
"Spaghetti Bolognese (Zubereitung Haushalt)";660;33;3,5;82;203;828
"Buchweizen Korn geschält";3200;170;0,5;900;2000;2500
"Gemüsebrühe (Zubereitung Haushalt)";399;20;4,6;72;70;203
"Graubrot-Roggenbrot mit Kümmel";2525;98;3,4;385;1463;1853
"Weißer Schweinskäse";1059;57;2,5;74;104;1840
"Feige frisch";600;20;1,5;70;130;250
"Pfifferling frisch";6500;50;3,3;420;180;650
"Graubrot-Weizenmischbrot";1698;65;2,2;233;1121;1270
"Weißwurst in Kapernsoße                  ";1395;43;3,4;74;223;2014
"Norddeutsche Kochmettwurst";1384;59;1,2;81;87;2529
"Hirse Mehl";6000;30;2;700;1500;1000
"Zartbitterschokolade";4616;43;1;1377;1084;2070
"Erdnussflips";938;63;5;193;351;778
"Blutwürste";16962;29;2,1;111;87;1117
"Möhren gedünstet (Zubereitung Haushalt)";1830;27;13,4;57;206;570
"Rüböl (Rapsöl)";100;0;0;1;1;1
"Spitzkohl gedünstet (Zubereitung Großküche)";418;13;4,4;64;165;193
"Gebrannte Cashewkerne";4200;100;3,1;1300;1200;3200
"Knackwurst, Servela";776;41;2,3;61;71;1272
"Aubergine frisch gegart";396;20;1,1;95;190;295
"Filetpastete und andere";1921;63;1,2;93;63;3698
"Cashewnuss geröstet";4100;128;11;2170;807;4750
"Champignon frisch gegart";1055;32;18,9;422;89;510
"Chinakohl frisch";600;15;0,3;20;280;340
"Delikateß-Leberwurst";7054;145;2,2;595;188;3442
"Pollack frisch";230;35;260;200;20;600
"Kasseler gegrillt";468;0;43,6;0;0;1318
"Leberwurst Ia";7054;145;2,2;595;188;3442
"Lachs pazifisch";710;180;32;41;15;440
"Geselchte";942;51;2,4;70;81;1658
"Salami IA fein";1481;57;1,3;87;82;2741
"Debreziner (Brühwurst)";1186;44;1,1;76;49;2099
"Katenrauchwurst";1124;59;2,5;74;108;1977
"Gelbwurst";725;37;2,1;62;72;1204
"Apfel geschält roh mit Küchenabfall";380;10;1,9;95;62;114
"Rosenkohl tiefgefroren";1085;10;1,1;65;257;582
"Spinat tiefgefroren";3872;104;11,5;113;448;552
"Goldbackfisch paniert tiefgefroren";708;145;76,2;39;55;510
"Fleischsalat (Zubereitung Gastronomie)";1041;24;2,9;94;158;794
"Pferd Fleisch";4700;30;1;144;19;2900
"Brennnessel roh";4120;80;3;240;1260;1020
"Luzernensprossen (Alfalfa) frisch";1000;4;1;160;188;920
"Kefir";50;13;7,5;12;5;370
"Sojajoghurt Vanillegeschmack angereichert mit Calcium und Vitaminen probiotisch";300;63;2;114;206;0
"Bier alkoholfrei (< 0,5 Gew% Alkohol)";15;1;1;5;16;8
"Kakaobutter";0;0;0;0;0;0
"Körnerbrot glutenfrei";1716;35;2,1;242;733;1168
"Zuckermelone - Honigmelone roh";200;10;2;46;47;109
"Sirup";1500;80;0;90;110;10
"Radieschen frisch";1500;70;8;53;125;160
"Kaffee entcoffeiniert röststoffarm (Getränk)";40;0;1;7;13;30
"Banane tiefgefroren";571;21;3,1;135;550;228
"Mandel süß geröstet";4000;82;2;1125;1850;4100
"Bohnen weiß reif Konserve";1545;31;2;185;404;730
"Ochsenschwanz in Gelee";2237;64;1,3;103;43;4342
"Salami italienische Art";1598;60;1,3;91;96;2964
"Gerste Vollkornflocken";2000;100;1;120;1270;1280
"Gewürzgurken Sauerkonserve, abgetropft";512;26;3,1;106;199;182
"Inulin";0;0;0;0;0;0
"Brühwurst feingekuttert (nicht umgerötet)";725;37;2,1;62;72;1204
"Preßkopf rot, Panhas";7297;50;2,4;101;121;1723
"Zwiebeln gegart";208;46;2;48;139;180
"Frankfurter Rindswurst, Rote";1990;58;1,3;111;40;3657
"Berglinsen";7500;0;0,7;700;1400;3600
"Risotto mit Butter und Parmesankäse (Zubereitung Gastronomie)";675;48;4,9;80;600;1239
"Kichererbsen Konserve abgetropft";2168;31;3,7;315;1061;1175
"Kochstreichwürste ohne Leber";704;38;2,3;64;68;1214
"Mortadella norddeutsch";1064;53;2,7;88;96;1661
"Mais Mehl";2400;60;2,5;180;280;2500
"Butter";0;71;2,7;0;0;230
"Buchweizen Nudeln (Soba)";3400;100;2,7;400;3600;2700
"Cashewnuss";2800;140;10;3700;840;2085
"Rosenkohl gedünstet (Zubereitung Haushalt)";990;10;1,3;63;237;544
"Döner Kebap";1576;43;2,3;139;275;2144
"Tofu";2500;13;1,3;22;620;220
"Korinthenbrötchen mit Hefe";1239;41;2,1;173;491;855
"Vanilleeis (Zubereitung Haushalt)";699;23;6,9;47;13;587
"Grießbrei (Zubereitung Haushalt)";161;22;6,3;30;143;712
"Joghurt-Dressing (Zubereitung Gastronomie)";1207;26;6,2;78;510;647
"Knoblauchwurst rohe Krakauer";1158;45;1,1;76;65;2142
"Göttinger Schinkenwurst roh";1144;57;2,3;70;101;1969
"Roggen Vollkornmehl";4855;150;7,2;463;4176;3886
"Johannisbeere rot frisch";900;23;1;100;240;240
"Hagebutte Konfitüre";316;22;0;673;448;352
"Kartoffelklöße halb und halb (Zubereitung Haushalt)";451;12;3,8;88;142;356
"Vollkornbrötchen mit Sesam";3008;69;3,8;408;2217;2344
"Vollkornbrot-Roggenvollkornschrotbrot";2188;98;4,5;248;2067;2118
"Joghurt 10% Fett";50;12;7;11;5;340
"Fleischbrühe klar (Zubereitung Gastronomie)";913;31;2,5;61;29;1727
"Gemüseeintopf (Zubereitung Haushalt)";1405;37;2,7;87;118;2110
"Knäckebrot-Mehrkornbrot";2773;137;5;350;2186;2083
"Clementine frisch";300;10;0,8;90;40;100
"Touristenwurst";1003;44;2,1;65;71;1827
"Grünkohl Konserve";1067;15;8;44;328;227
"Würstchen (umgerötet)";787;42;2,4;63;72;1289
"Kartoffelgratin (Zubereitung Haushalt)";303;12;5,5;67;100;349
"Heringsfische Makrelen Thunfische gegart";1001;238;39,2;321;23;1106
"Sojamehl";15000;120;0,8;1600;4000;4900
"Schwein Schinkenspeck";1122;55;1,1;51;72;1956
"Kokoswasser";100;0;0,4;400;400;100
"Sojalecithin";0;0;0;0;0;0
"Heringsfilet in Tomatensoße";1130;283;23;281;48;850
"Blätterteig tiefgefroren";900;0;0;140;240;400
"Weintraube rot frisch";500;14;1;83;104;55
"Leberrolle";6381;141;2,4;477;210;3503
"Hackfleischsoße italienisch (Zubereitung Großküche)";527;17;1,5;84;92;616
"Hüttenkäse Magerstufe";140;17;10;20;1;420
"Dinkel ganzes Korn roh";4350;55;0,6;400;4410;3650
"Feta";650;110;25;80;35;2000
"Brötchen mit Schinken";1323;44;2,1;177;499;955
"Sächsischer Preßkopf Konserve";798;42;1,2;48;82;1393
"Schweinekamm gefüllt";2102;62;5,4;111;184;1651
"Blumenkohl gegart";457;9;0,7;47;190;266
"Kasseler";430;0;40;0;0;1210
"Himbeere Konfitüre";544;7;1,1;41;146;144
"Graubrot-Mehrkornbrot";1767;87;3,3;223;1393;1327
"Tee schwarz mit Zucker (Getränk)";25;113;1;30;677;40
"Sanddornbeere Fruchtsaft";439;19;1,1;208;611;156
"Bier Pils Hell";12;1;1,5;10;16;6
"Gänsefett, -schmalz";30;15;2;20;1;20
"Plock-und Schinkenwurst roh";2059;74;1,6;118;93;3883
"Erdbeere tiefgefroren";1005;25;1;126;236;126
"Sauce Hollandaise Konserve";1151;28;3;79;68;1111
"Kichererbsen Konserve abgetropft gekocht";676;10;2,4;65;244;344
"Spargel grün";700;0;7;200;100;400
"Kefir vollfett";90;13;7,5;12;5;360
"Birne frisch";260;12;1;90;50;230
"Waffel-Maisbrot glutenfrei";1417;51;3,1;114;534;1522
"Brötchen (allgemein)";1325;43;2,1;180;511;924
"Teigwaren aus Hartgrieß gegart";510;17;0,5;122;370;680
"Kapern Konserve abgetropft";860;75;6;144;0;0
"Kasseler gekocht";562;0;55;0;0;1665
"Gänse-Cervelatwurst";1781;51;3,7;180;81;2092
"Gemüsepaprika gelb frisch";400;20;2;20;100;100
"Hessische Landrotwurst";7286;90;2,7;157;113;2596
"Spätzle (Zubereitung Haushalt)";819;40;2,7;80;165;607
"Trinkwasser";2;16;0,3;0;1;3
"Knäckebrote";1920;63;3;261;740;1338
"Pfeffer Lyoner Konserve";1013;53;2,7;69;99;1692
"Kalbsleber gebraten (Zubereitung Haushalt)";7007;24;4,1;4310;243;3192
"Sojadrink flüssig";570;63;2;114;206;0
"Ente Fleisch mit Haut frisch";2400;40;1,2;240;47;1840
"Sojasprossen frisch";900;40;2;230;170;960
"Kalbfleischwurst Konserve";1084;30;2,4;82;51;1655
"Gemüsesuppe dick (Zubereitung Haushalt)";923;24;4,5;100;336;426
"Pariser Pastete";1787;57;1,2;123;118;2169
"Graubrot-Roggenmischbrot";1534;85;3,3;194;1330;1225
"Knollensellerie frisch";530;14;2,8;116;150;369
"Graubrot-Roggenmischtoastbrot mit Schrotanteilen";1747;86;3,3;232;1403;1417
