name;Poly-Pentosen;Poly-Hexosen;Poly-Uronsäure;Cellulose;Lignin;Wasserlösliche Ballaststoffe;Wasserunlösliche Ballaststoffe
Schupfnudeln (Zubereitung Haushalt);602;0;969;322;309;701;1501
Kasseler Rippenspeer roh geräuchert;0;0;0;0;0;0;0
Limette Fruchtsaft;44;9;9;13;13;25;62
Blumenkohl gedämpft;994;12;562;748;748;518;2567
Putenbrust gebraten, mit Soße (Zubereitung Großküche);261;40;215;84;187;242;545
Preßsäckel;18;15;15;17;17;24;58
Vollkornbrot-Roggenvollkornbrot;885;430;2652;4278;432;3136;5542
Sauermilchkäse (Harzer) Magerstufe;0;0;0;0;0;0;0
Mandel süß Mehl;1235;165;5433;1235;165;2392;4711
Rettich weiß frisch;1125;75;375;250;675;575;1925
Pute Brust frisch;0;0;0;0;0;0;0
Zwiebeln;462;63;456;63;355;290;1520
Grapefruit Fruchtsaft;12;3;9;17;18;20;39
Orange Fruchtsaft;45;34;34;45;68;85;141
Cabanossi Konserve;22;21;20;22;22;33;76
Puffreis;300;190;1180;70;260;1250;750
Kartoffeln ungeschält roh gegart mit Küchenabfall;333;0;351;95;171;285;665
Blumenkohl gekocht;771;9;436;582;582;700;1680
Walnuss europäisch;1842;614;921;1228;1535;3070;3070
Rind Herz frisch;0;0;0;0;0;0;0
Sardelle Konserve;0;0;0;0;0;0;0
Hühnerei Eiweiß frisch gegart;0;0;0;0;0;0;0
Konfitüre, Marmelade mit Fruchtzucker für Diabetiker;44;0;86;109;90;153;176
Schinkentorte;174;50;101;96;62;133;350
Sülzwürste;11;11;10;10;10;15;37
Wiener Würstchen Konserve;12;11;9;12;12;18;39
Fenchelgemüse gedünstet (Zubereitung Haushalt);1275;85;1487;213;1190;1063;3188
Skyr;0;0;0;0;0;250;250
Bierschinken-Pastete;63;2;346;126;24;208;353
Parmesan;0;0;0;0;0;0;0
Köhler tiefgefroren gegart;0;0;0;0;0;0;0
Rotkohl frisch gegart;896;24;354;638;449;850;1511
Bierschinken, Schinkenpastete;9;5;5;6;6;9;22
Brötchen-Weizenbrötchen;340;19;1792;842;165;1162;1996
Curry-Bratwurst;17;6;11;11;13;17;40
Ricotta Vollfettstufe;0;0;0;0;0;0;0
Rind Gulasch (mager) frisch gegart;0;0;0;0;0;0;0
Fleischwurst, Stadtwurst;20;18;17;21;19;28;66
Mettwurst grob;11;11;10;9;11;16;36
Schwartenmagen;27;27;24;24;26;37;91
Brötchen mit Milch;335;18;1769;831;164;1147;1970
Pute Truthahn gegart;0;0;0;0;0;0;0
Frischkäse Doppelrahmstufe;0;0;0;0;0;0;0
Edamer;0;0;0;0;0;0;0
Seitan (braun);170;22;270;186;55;201;502
Bismarckhering Konserve, abgetropft;113;17;208;57;83;218;260
Tatar (Schabefleisch) frisch;0;0;0;0;0;0;0
Moosbeere;760;1140;380;570;950;950;2850
Pfälzer, Augsburger, Regensburger;22;21;20;22;22;33;76
Weißer Fleischkäse;6;6;6;5;6;9;20
Schwein Rücken (Kotelett) (mittelfett) frisch gegart;0;0;0;0;0;0;0
Bratkartoffeln (Zubereitung Gastronomie);748;3;790;217;386;643;1501
Xylit;0;0;0;0;0;0;0
Suppenhuhn Klein frisch gegart;0;0;0;0;0;0;0
Brötchen-Weizenmischbrötchen;667;117;1976;1508;187;1862;2592
Pizza tonno (Zubereitung Gastronomie);364;90;840;451;234;584;1395
Haferflocken;800;580;4347;3091;483;4950;5080
Kondensmilch 10 % Fett;0;0;0;0;0;0;0
Mettwurst schnittfeste Gruppe;9;9;8;8;7;12;29
Reisnudeln;0;0;0;0;0;0;0
Kalbfleisch-Galantine;1;1;1;3;1;2;6
Kabeljau frisch Fischzuschnitt;0;0;0;0;0;0;0
Spätzle (Zubereitung Gastronomie);121;0;729;303;61;437;777
Wildbret-Galantine                     ;7;7;6;9;7;11;25
Champignon Konserve gegart abgetropft;1167;20;840;0;20;390;1658
Sprotte frisch;0;0;0;0;0;0;0
Buchweizen Vollkorn;1287;792;5099;1139;1584;4257;5644
Rührei (Zubereitung Haushalt);0;0;0;0;0;0;0
