name;Poly-Pentosen;Poly-Hexosen;Poly-Uronsäure;Cellulose;Lignin;Wasserlösliche Ballaststoffe;Wasserunlösliche Ballaststoffe
Tomatensoße italienisch (Zubereitung Großküche);520;166;285;193;403;369;1198
Kohlrabi frisch;600;75;225;300;300;495;1005
Kokosnuss;1350;180;5940;1350;180;2100;6900
Obstsalat süßsauer (Zubereitung Haushalt);415;181;357;382;515;515;1334
Kalbfleischsülze;1;1;1;4;1;3;5
Salami ungarische Art;9;8;8;7;8;13;28
Muffins mit Schokolade;670;3758;1126;806;334;618;6076
Graubrot-Weizenmischbrot mit Sonnenblumenkernen;645;120;1872;1491;183;1797;2514
Aprikose - Marille;231;77;77;693;462;710;830
Schinkenroulade;16;5;51;16;6;36;58
Kartoffelsalat mit grüner Gurke und Mayonnaise (Zubereitung Gastronomie);503;7;502;142;282;437;999
Brötchen-Roggenbrötchen mit Sonnenblumenkernen;973;188;2625;2135;139;2979;3081
Leberwurst einfach;37;8;43;12;35;59;76
Bohnen grün tiefgefroren gegart;1257;68;1190;442;442;1699;1699
Vollkornbrot-Mehrkornvollkornbrot;847;409;2620;3921;431;2933;5296
Kalbfleisch-Pastete;56;13;255;116;35;167;309
Hausmacher Blutwurst Konserve;54;14;48;25;48;70;119
Salzstangen;70;0;420;175;35;252;448
Mozzarella;0;0;0;0;0;0;0
Brathähnchen Leber frisch;0;0;0;0;0;0;0
Rote Bete gegart;726;24;484;968;218;605;1815
Agavendicksaft;0;0;0;0;0;100;100
Shiitakepilz frisch;1117;20;804;0;20;373;1588
Mortadella Konserve;35;15;104;35;16;76;130
Marmelade;209;4;68;138;330;178;570
Griechischer Joghurt;78,5;97,3;79,3;59,9;103,1;121,7;1003,3
Rind Pökelfleisch gekocht ungeräuchert;0;0;0;0;0;0;0
Schwein Nacken (Kamm) (fett) frisch gegart;0;0;0;0;0;0;0
Hirsch Fleisch (mager) frisch;0;0;0;0;0;0;0
Geflügelleberwurst;21;9;19;10;17;20;66
Haselnusspastete mit Mürbeteig;303;88;360;271;240;472;790
Joghurt 10% mit Früchten;39;1;48;58;722;35;833
Geflügelbierwurst;27;17;19;22;23;32;75
Schwarze Graupenwürstchen;139;41;513;394;83;255;915
Tofu frisch;120;3;182;125;70;250;250
Rotwein leicht;0;0;0;0;0;0;0
Kürbiskern geröstet;1300;173;5723;1300;173;1734;6935
Vollkornbrot mit Ölsamen;887;425;2621;4219;427;3111;5469
Linsen reif gegart;1512;82;1431;532;532;1636;2453
Bratwurst (nicht umgerötet);13;7;8;10;11;15;35
Amaranth roh;1209;744;4836;1023;1488;3441;5859
Brühwurst feingekuttert (umgerötet);12;11;10;12;11;18;39
Avocado;0;0;0;0;0;0;4100
Hirschsalami;10;10;9;9;11;14;35
Cashewnuss geröstet und gesalzen;941;314;471;627;784;1569;1569
Geflügelknackwurst;36;28;29;34;34;48;113
Knacker einfach, Schüblinge einfach;10;9;9;9;10;14;33
Kiwi;819;702;663;858;858;1084;2816
Erbswurst;745;102;3229;737;111;1484;3441
Schnittkäse aus Ziegenmilch (50% Fett i. Tr.);0;0;0;0;0;0;0
Milzwurst;20;9;13;11;12;21;44
Deutsche Salami;13;13;11;16;13;20;45
Haferkleieflocken;831;602;4515;3210;502;4950;5080
Leinsamen;0;0;0;0;0;0;0
Brötchen mit Sonnenblumenkernen;369;34;1798;938;172;1228;2083
Sonnenblumenöl;0;0;0;0;0;0;0
Geflügelmortadella gebraten (zubereitet ohne Fett);27;25;24;28;27;38;90
Zwieback;520;0;3120;1300;260;1872;3328
Spaghetti gekocht, mit Butterflöckchen (Zubereitung Gastronomie);190;0;1141;475;95;684;1217
Sonnenblumenkern roh;0;0;0;0;0;0;5800
Macadamianuss roh;3429;1143;1715;2286;2858;209;11223
