"";"Isoleucin";"Leucin";"Lysin";"Methionin";"Cystein";"Phenylalanin";"Tyrosin";"Threonin";"Tryptophan";"Valin";"Arginin";"Histidin";"Essentielle Aminosäuren";"Alanin";"Asparaginsäure";"Glutaminsäure";"Glycin";"Prolin";"Serin";"Nichtessentielle Aminosäuren";"Harnsäure";"Purin"
"Eiscreme";86;86;191;21;1336;523;54;0;62;148;241;182;59;1230;118;242;0;134;105;35;118;161
"Wurst";1158;1233;1872;233;10528;3216;983;131;683;969;1490;1725;502;8912;811;873;44;810;883;221;707;1071
"Pastinake roh";67;139;131;4;584;123;42;30;21;52;70;78;16;455;45;44;10;48;49;14;26;70
"Olivenöl";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Schinken-Käsesülze";867;948;1501;189;9009;2912;760;93;541;832;1317;1418;432;7824;741;987;31;797;760;201;675;955
"Kartoffelstärke Mehl";22;35;82;3;244;92;19;4;15;20;33;33;10;258;5;21;1;22;29;6;25;30
"Mandeldrink gesüßt";16,7;47,4;41,2;6,6;182;101,8;21,9;0,9;9;15,1;25,1;10,5;4,7;218;19,7;20,9;0,3;15,5;10,6;2,9;10,8;19,5
"Füllung für Kalbsbrust";715;773;1139;175;6680;2052;542;54;381;645;983;964;316;5599;557;583;18;568;556;145;444;741
"Blattspinat gegart";149;157;253;33;1428;331;135;71;61;135;227;183;50;1101;140;120;24;113;126;42;113;161
"Erdbeere frisch";43;36;187;7;270;123;33;25;16;18;43;33;1;444;24;26;8;32;26;14;28;24
"Tilsiter";710;868;1631;105;13674;5497;421;10;605;1341;2496;1973;605;12494;1289;2867;3;1368;1078;342;1315;1657
"Wiener Schnitzel (Zubereitung Großküche)";1035;1105;1596;226;9450;3253;772;117;566;918;1442;1402;431;8313;767;942;39;715;762;200;613;1018
"Graupenblutwurst";525;468;746;104;4376;1467;494;84;298;316;752;586;151;4278;444;629;28;417;352;100;268;537
"Schupfnudeln (Zubereitung Haushalt)";212;258;461;94;2354;1023;168;18;90;241;362;223;104;2467;254;323;6;280;194;64;166;304
"Kasseler Rippenspeer roh geräuchert";1048;1042;1660;208;9410;2670;973;115;673;860;1312;1501;493;7942;668;827;38;764;854;208;619;972
"Limette Fruchtsaft";24;24;51;6;127;44;38;18;6;11;10;20;6;189;14;21;6;11;6;2;8;14
"Blumenkohl gedämpft";168;126;356;36;1218;421;113;51;56;126;195;160;54;1365;88;139;17;168;126;39;40;172
"Putenbrust gebraten, mit Soße (Zubereitung Großküche)";556;654;955;134;5355;1632;504;62;306;532;767;887;263;4523;413;461;21;415;433;114;358;494
"Preßsäckel";992;1064;1659;216;9241;2885;937;151;612;828;1261;1531;450;8059;721;811;50;775;793;198;648;919
"Vollkornbrot-Roggenvollkornbrot";302;293;502;114;2593;1663;329;57;142;249;417;242;91;3748;280;664;19;288;236;64;151;314
"Sauermilchkäse (Harzer) Magerstufe";810;990;1860;150;15600;6270;480;19;870;1620;2850;2250;690;14250;1380;3270;6;1560;1230;390;1380;1800
"Mandel süß Mehl";1035;2946;2586;407;11293;6310;1370;42;557;943;1565;621;290;13576;1243;1318;14;957;654;182;664;1221
"Rettich weiß frisch";38;74;79;8;444;231;33;10;25;50;64;49;9;448;40;30;3;37;42;4;21;58
"Pute Brust frisch";1301;1518;2169;313;12580;3615;1181;120;723;1253;1808;2096;627;10315;964;1085;40;964;1012;265;844;1157
"Zwiebeln";53;183;104;33;534;297;79;13;15;22;38;65;14;645;40;58;4;54;23;22;47;32
"Grapefruit Fruchtsaft";18;36;95;2;130;38;9;15;6;9;14;18;3;227;9;43;5;24;10;4;6;13
"Orange Fruchtsaft";49;64;110;10;316;93;93;21;18;25;23;46;20;421;31;45;7;31;15;9;16;39
"Cabanossi Konserve";800;849;1287;159;7220;2199;664;74;465;669;1031;1176;343;6090;555;593;25;547;603;151;481;738
"Puffreis";450;435;713;90;3647;1459;338;96;120;353;645;285;135;3703;375;375;32;368;293;75;338;503
"Kartoffeln ungeschält roh gegart mit Küchenabfall";64;91;262;17;722;280;58;13;25;70;99;99;25;789;72;61;4;64;59;23;51;91
"Blumenkohl gekocht";130;97;275;28;943;326;87;46;44;97;151;124;43;1056;68;108;15;130;97;30;31;133
"Walnuss europäisch";720;1742;1685;202;6380;2980;806;25;288;547;950;302;173;7948;533;864;8;893;418;130;461;634
"Rind Herz frisch";1048;1083;1467;245;9470;2655;961;256;437;874;1572;1485;384;7546;804;611;85;804;804;210;594;978
"Sardelle Konserve";1135;899;1576;158;8245;1971;867;235;426;773;1261;1417;457;6732;631;552;78;631;646;158;552;867
"Hühnerei Eiweiß frisch gegart";616;606;1062;255;6138;1275;361;0;233;606;900;637;404;4429;637;361;0;754;467;160;425;808
"Konfitüre, Marmelade mit Fruchtzucker für Diabetiker";10;8;167;2;81;22;8;5;5;7;11;12;3;229;8;11;2;11;8;3;4;10
"Schinkentorte";931;965;1472;185;8156;2584;1002;106;522;734;1126;1337;385;7562;645;873;35;700;697;177;559;824
"Sülzwürste";1426;1444;2058;253;11383;3598;1795;158;703;1005;1573;1888;531;11204;899;1329;53;998;970;233;745;1139
"Wiener Würstchen Konserve";807;863;1330;170;7438;2300;728;96;488;675;1033;1223;359;6402;577;637;32;600;632;158;512;748
"Fenchelgemüse gedünstet (Zubereitung Haushalt)";148;127;297;29;1356;560;83;17;63;150;232;187;50;1403;115;195;6;120;122;36;91;154
"Skyr";271,3;331,7;622,5;50,2;5227,4;2100,5;160,7;0;291,7;542,6;955;754,3;230,5;4772,6;462,6;1095,3;0;522,2;412,4;130,9;462,6;602,9
"Bierschinken-Pastete";938;1021;1567;224;8878;3008;895;115;577;802;1233;1417;427;8048;716;869;38;771;753;193;622;893
"Parmesan";872;1066;1809;162;16891;6848;485;10;969;1873;3034;2293;743;15247;1486;3553;3;1680;1324;420;1486;2035
"Köhler tiefgefroren gegart";1364;1279;2088;213;11060;3027;917;190;554;1023;1662;1960;554;9186;809;809;63;981;960;213;703;1130
"Rotkohl frisch gegart";55;103;117;16;516;285;35;41;27;41;70;63;14;828;41;260;14;76;47;14;25;55
"Bierschinken, Schinkenpastete";1004;1078;1680;219;9360;2921;949;135;620;839;1277;1551;456;8159;730;821;45;784;803;200;656;931
"Brötchen-Weizenbrötchen";241;269;338;161;2809;2421;277;44;138;288;525;165;106;4535;355;871;15;387;212;74;197;319
"Curry-Bratwurst";671;720;1125;147;6256;1953;634;80;414;561;854;1035;305;5457;489;549;27;525;536;134;439;622
"Ricotta Vollfettstufe";304;372;698;56;5856;2353;180;5;327;608;1069;845;259;5348;518;1227;2;586;462;146;518;676
"Rind Gulasch (mager) frisch gegart";1759;1844;2696;312;15379;4540;1249;155;965;1475;2298;2470;709;12428;1163;1163;52;1021;1249;312;965;1617
"Fleischwurst, Stadtwurst";788;844;1313;169;7308;2277;734;85;483;658;1003;1206;355;6356;569;638;28;606;625;157;510;729
"Mettwurst grob";929;998;1554;202;8667;2705;878;118;574;776;1183;1440;421;7551;675;760;39;725;743;186;607;862
"Schwartenmagen";1222;1238;1754;201;9699;3014;1368;377;606;883;1371;1590;451;9187;748;1062;126;767;809;194;615;993
"Brötchen mit Milch";276;302;417;168;3361;2622;298;43;164;349;626;243;131;5020;403;967;14;440;255;88;246;386
"Pute Truthahn gegart";1460;1704;2433;352;14114;4056;1324;219;811;1406;2028;2350;704;11572;1082;1217;73;1082;1135;298;946;1298
"Frischkäse Doppelrahmstufe";297;363;682;55;5720;2299;176;0;319;594;1045;825;253;5225;506;1199;0;572;451;143;506;660
"Edamer";670;818;1538;99;12895;5183;397;10;570;1265;2357;1860;570;11781;1215;2703;3;1290;1017;322;1240;1562
"Seitan (braun)";539;659;669;412;7929;7937;670;89;431;860;1465;320;342;13612;1073;2763;30;1034;525;214;740;888
"Bismarckhering Konserve, abgetropft";1092;902;1520;159;7988;1978;863;199;415;742;1210;1355;435;6643;614;572;66;618;628;158;531;839
"Tatar (Schabefleisch) frisch";1327;1391;2033;235;11599;3424;942;130;728;1113;1733;1862;535;9373;877;877;43;770;942;235;728;1220
"Moosbeere";18;28;35;9;224;58;22;15;9;16;39;16;8;167;24;15;5;19;16;8;31;20
"Pfälzer, Augsburger, Regensburger";800;849;1287;159;7220;2199;664;74;465;669;1031;1176;343;6090;555;593;25;547;603;151;481;738
