"";"Isoleucin";"Leucin";"Lysin";"Methionin";"Cystein";"Phenylalanin";"Tyrosin";"Threonin";"Tryptophan";"Valin";"Arginin";"Histidin";"Essentielle Aminosäuren";"Alanin";"Asparaginsäure";"Glutaminsäure";"Glycin";"Prolin";"Serin";"Nichtessentielle Aminosäuren";"Harnsäure";"Purin"
"Klarer";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Gerste Perlgraupen";425;483;560;135;4111;2363;367;100;174;386;666;328;154;5346;502;1148;33;483;328;135;357;463
"Lakritze";124;147;211;88;1549;1370;155;20;77;160;291;87;58;2561;198;487;7;214;114;42;106;181
"Westfälische grobe Mettwurst";1092;1173;1827;238;10186;3180;1033;134;675;914;1390;1688;495;8880;794;894;45;854;874;218;714;1013
"Helle Zungenwurst Konserve";865;964;1469;192;8174;2548;842;117;509;732;1157;1346;387;7146;643;741;39;681;695;178;552;819
"Schalotte roh";58;278;115;37;779;332;88;15;24;38;58;94;21;720;58;67;5;60;34;30;64;43
"Cornflakes mit Zucker, Honig geröstet";488;268;406;98;3038;1234;235;73;175;235;813;170;124;3261;313;579;24;319;235;46;248;313
"Haferdrink";53,2;62,1;83;33,6;480,3;217,4;53,2;14,9;20,3;41;77,2;39,9;17,9;519,7;51,8;58,6;5;54,3;36,1;15,4;30,9;54,1
"Spargel weiß gegart";95;87;210;17;600;370;63;28;29;57;82;82;19;908;49;105;9;65;51;19;34;74
"Sojaerzeugnisse";1524;2564;4199;595;18357;6800;1486;191;855;1746;2897;2081;595;17873;2007;1969;64;1895;1524;446;1263;1784
"Marmorkuchen aus Rührmasse";261;305;428;130;2946;1377;206;13;117;306;477;248;135;3130;321;483;4;375;242;75;210;380
"Weichkäse aus Ziegenmilch (45% Fett i. Tr.)";546;666;1252;102;10506;4222;324;10;526;1172;1920;1434;464;9596;930;2202;3;1050;828;262;930;1272
"Landjäger";881;938;1420;176;7991;2440;743;77;517;737;1134;1307;380;6757;614;661;26;612;670;168;536;814
"Zuckererbsen frisch";80;192;328;44;1944;644;100;150;20;228;324;288;12;1416;128;88;50;176;140;36;140;392
"Weizen Grieß gegart";33;43;47;19;375;285;44;9;18;37;64;26;14;566;44;108;3;49;28;10;29;43
"Feldsalat frisch";79;88;202;13;807;224;74;24;29;120;126;92;22;739;83;96;8;64;70;20;52;92
"Hafer ganzes Korn roh";656;772;1008;323;5629;2547;709;94;225;468;870;495;191;6378;605;799;31;660;424;190;424;643
"Weißbrot-Weizentoastbrot";244;264;357;149;2861;2313;270;48;140;295;531;194;110;4406;350;839;16;383;219;75;206;328
"Walnüsse";720;1742;1685;202;6380;2980;806;25;288;547;950;302;173;7948;533;864;8;893;418;130;461;634
"Konfitüre Gelee Marmeladen";6;3;39;0;35;9;3;6;2;4;6;6;1;65;3;4;2;4;3;1;2;4
"Kiwi frisch";45;35;90;5;315;100;35;19;15;30;50;50;10;345;25;35;6;40;30;10;20;35
"Haselnusspastete";965;1135;1616;213;9059;2891;937;120;586;820;1233;1438;423;7994;705;799;40;786;759;198;631;918
"Lachs tiefgefroren";1178;1104;1803;184;9550;2613;791;170;478;883;1435;1695;478;7930;699;699;57;846;828;184;607;975
"Pumpernickel";302;293;502;114;2593;1663;329;57;142;249;417;242;91;3748;280;664;19;288;236;64;151;314
"Kaiserjagdwurst Konserve";926;994;1550;202;8630;2694;875;119;572;774;1178;1428;420;7526;673;758;40;723;740;186;605;858
"Mais-Vollkornfladenbrot";458;250;378;91;2843;1150;220;41;165;220;762;158;116;3047;293;542;14;299;220;43;232;293
"Honig";17;24;38;7;171;70;16;0;7;14;24;16;7;182;21;21;0;20;16;5;8;22
"Vollkornbrot mit Sonnenblumenkernen";330;366;570;127;2928;1804;373;61;158;284;462;264;104;4073;312;679;20;317;260;74;168;349
"Schaf Muskelfleisch";1248;1290;1872;250;10567;3411;1019;180;562;1019;1560;1685;499;9401;790;957;60;894;936;250;707;1019
"Rind Lunge frisch";941;958;1550;139;8536;1812;1254;340;418;766;1482;1289;314;7142;714;714;113;871;714;157;575;1010
"Pak Choi frisch";68;71;86;11;496;286;33;25;21;67;69;62;12;535;39;24;8;38;44;14;29;57
"Champignon frisch";137;190;126;16;1019;192;74;60;55;110;118;170;25;762;74;151;20;82;85;22;66;88
"Knoblauchwurst einfach";932;987;1474;179;8340;2514;737;51;533;781;1207;1354;392;6931;637;668;17;606;691;173;545;861
"Wurzelpetersilie frisch";95;104;294;9;838;769;78;30;40;92;115;109;26;1610;69;288;10;86;81;26;35;132
"Apfel Fruchtsaft";3;2;22;0;24;7;2;13;1;2;4;5;1;39;2;2;4;3;2;1;1;3
"Beerenobst";29;52;86;12;219;144;21;20;25;6;15;16;23;337;15;23;7;34;19;4;13;19
"Pecannuss frisch";400;1135;837;214;4855;1841;446;0;251;419;642;372;167;4398;465;428;0;446;307;167;288;428
"Schweinefilet im Netz                   ";1161;1241;1948;252;10862;3395;1092;127;714;978;1490;1791;523;9501;853;990;42;915;931;236;763;1090
"Geflügelwiener Würstchen";1140;1281;1893;216;10151;3130;1034;97;700;1002;1521;1733;523;8981;731;942;32;842;822;188;352;1082
"Spekulatius aus Mürbeteig";288;456;508;158;3363;2140;304;23;152;330;562;225;129;4344;392;699;8;405;248;80;231;400
"Mosaik-, Schachbrettpastete und andere";894;921;1462;190;8124;2520;837;104;557;696;1145;1326;380;7140;656;742;35;685;691;174;553;835
"Kresse frisch";243;266;487;5;2236;570;226;28;110;221;314;321;78;1963;226;226;9;211;210;55;149;281
"Banane frisch";46;54;115;2;492;105;43;25;77;38;84;58;9;398;35;40;8;49;38;18;21;58
"Rumpsteak (Zubereitung Großküche)";1839;1929;2819;327;16086;4748;1306;154;1009;1542;2403;2586;741;12996;1216;1216;51;1068;1306;327;1009;1691
"Linsen reif frisch";1011;1853;2703;212;11560;3878;964;200;564;1058;1692;1645;188;10765;1175;987;67;1222;940;212;752;1269
"Oliven";65;137;134;26;691;290;72;25;39;63;92;51;29;682;62;58;8;63;50;21;46;75
"Müsli";498;649;780;179;4533;2395;493;105;210;441;745;356;148;5572;491;871;35;535;336;113;334;531
"Kokosflocken aus Fondant";50;128;97;17;515;211;47;0;19;48;75;39;17;496;44;40;0;51;35;9;29;55
"Gouda mind. 10% Fett i. Tr.";744;909;1707;111;14320;5756;440;10;633;1404;2616;2065;633;13081;1350;3002;3;1432;1129;358;1377;1735
"Gelee einfach";5;3;36;0;33;8;3;6;2;3;6;5;1;59;3;3;2;4;3;1;2;4
"Tomatensoße italienisch (Zubereitung Großküche)";129;144;291;29;1126;637;103;25;65;106;164;171;44;1344;91;92;8;92;99;28;70;115
"Kohlrabi frisch";96;124;204;10;708;320;76;30;42;82;90;84;20;1152;56;354;10;102;64;20;40;76
"Kokosnuss";244;524;468;76;2195;1035;233;0;76;214;332;161;75;2428;193;194;0;254;139;42;128;235
"Obstsalat süßsauer (Zubereitung Haushalt)";33;45;108;6;276;85;36;17;25;24;42;30;8;326;23;32;6;32;20;7;14;32
"Kalbfleischsülze";1315;1309;1780;188;9909;3011;1404;121;598;930;1460;1603;447;9303;754;1084;40;709;803;191;585;1041
"Salami ungarische Art";1091;1170;1825;237;10169;3175;1030;139;674;912;1387;1684;496;8865;793;893;46;851;873;218;713;1012
"Muffins mit Schokolade";287;374;542;139;3192;1534;255;22;129;309;507;283;131;3575;335;558;7;399;268;94;219;404
"Graubrot-Weizenmischbrot mit Sonnenblumenkernen";302;367;467;172;3166;2248;331;54;161;324;539;230;120;4526;365;796;18;382;249;83;197;359
"Aprikose - Marille";49;32;226;2;350;113;29;20;19;29;56;69;4;549;37;73;7;59;35;11;21;35
"Schinkenroulade";1117;1204;1871;245;10423;3260;1057;136;689;935;1423;1720;506;9095;815;914;45;876;893;224;731;1038
"Kartoffelsalat mit grüner Gurke und Mayonnaise (Zubereitung Gastronomie)";70;97;211;17;752;285;59;10;32;73;106;103;29;762;70;70;3;67;62;22;53;88
"Brötchen-Roggenbrötchen mit Sonnenblumenkernen";323;364;552;131;2939;1805;361;63;158;288;467;260;107;4031;314;667;21;323;255;76;173;346
"Leberwurst einfach";740;724;1110;133;6113;1712;904;131;362;525;948;944;275;5745;506;713;44;566;538;133;400;625
"Bohnen grün tiefgefroren gegart";115;110;315;26;1089;281;100;51;58;106;159;150;34;1059;100;106;17;142;100;32;74;140
"Vollkornbrot-Mehrkornvollkornbrot";335;319;523;121;2777;1693;340;63;148;266;455;253;99;3871;297;668;21;312;247;72;166;334
"Kalbfleisch-Pastete";1076;1138;1687;219;9675;3184;842;130;609;916;1427;1523;451;8364;759;858;43;717;794;202;629;1008
"Hausmacher Blutwurst Konserve";920;883;1439;185;8000;2451;847;14;581;626;1191;1279;348;7125;684;785;5;683;668;169;514;872
"Salzstangen";270;315;378;198;3321;3069;333;100;162;342;630;171;126;5616;432;1098;33;468;243;90;234;378
"Mozzarella";594;748;1386;88;10615;4345;374;0;583;946;1837;1584;550;9823;1023;2057;0;1067;715;264;1067;1210
"Brathähnchen Leber frisch";993;993;1643;267;9970;2311;936;243;688;821;1490;1605;458;7755;936;993;81;879;821;229;573;1089
"Rote Bete gegart";33;29;103;16;438;371;29;21;17;36;57;75;26;608;43;36;7;36;41;11;51;36
"Agavendicksaft";10;10;10;10;50;5;5;5;5;5;5;5;5;40;0;5;1,7;5;0;0;0;5
"Shiitakepilz frisch";78;89;103;27;605;353;56;50;22;55;92;47;25;715;67;56;17;69;67;3;44;67
"Mortadella Konserve";659;715;1107;145;6160;1932;624;116;406;552;841;1017;299;5381;482;540;39;519;526;132;431;614
"Marmelade";6;3;39;0;35;9;3;6;2;4;6;6;1;65;3;4;2;4;3;1;2;4
"Griechischer Joghurt";230;481,6;550,5;65;2914,8;1161,5;199,9;3,9;132,8;242,1;475,6;316,4;126,9;2838,4;250,6;387,5;1,3;309,1;219,8;67,9;227,5;308,5
"Rind Pökelfleisch gekocht ungeräuchert";1036;1086;1588;184;9057;2674;736;90;568;869;1354;1453;418;7320;685;685;30;601;736;184;568;952
"Schwein Nacken (Kamm) (fett) frisch gegart";1468;1574;2457;321;13696;4272;1389;178;908;1228;1868;2269;668;11937;1068;1202;59;1149;1174;294;962;1362
"Hirsch Fleisch (mager) frisch";1133;1339;1854;247;10588;3296;1030;110;515;1030;1607;1669;515;9188;824;1030;37;845;906;227;700;1009
"Geflügelleberwurst";1190;1167;1893;288;11374;2733;1130;282;746;999;1707;1778;534;9036;997;1104;94;986;945;259;678;1276
"Haselnusspastete mit Mürbeteig";740;913;1236;179;7092;2490;735;91;445;653;979;1067;322;6555;568;708;30;646;585;159;494;728
"Joghurt 10% mit Früchten";91;100;209;25;1412;477;59;1;68;157;247;188;63;1260;125;280;0;144;112;38;124;165
"Geflügelbierwurst";1412;1545;2320;265;12562;3820;1286;127;805;1206;1856;2143;647;11034;913;1155;42;1041;1041;230;505;1406
"Schwarze Graupenwürstchen";599;547;869;120;5065;1683;565;95;343;377;849;699;184;4884;499;692;32;476;410;115;316;606
"Tofu frisch";339;509;929;97;3870;1585;331;70;234;380;630;469;97;4008;436;428;23;396;259;121;242;396
"Rotwein leicht";4;10;4;2;48;23;3;0;2;3;2;5;1;55;2;15;0;6;16;0;1;4
"Kürbiskern geröstet";1464;5143;3142;392;20461;5535;2249;0;821;1572;2642;2285;678;15068;1536;1249;0;1429;1107;536;1285;2464
"Vollkornbrot mit Ölsamen";330;366;570;127;2928;1804;373;61;158;284;462;264;104;4073;312;679;20;317;260;74;168;349
"Linsen reif gegart";377;691;1009;79;4316;1448;360;75;211;395;632;614;70;4018;439;368;25;456;351;79;281;474
"Bratwurst (nicht umgerötet)";671;721;1125;147;6261;1954;635;80;414;561;854;1038;305;5459;489;549;27;525;537;134;439;622
"Amaranth roh";799;1060;1261;310;6482;2259;1636;66;389;582;879;747;226;7801;542;698;22;1148;558;181;329;679
"Brühwurst feingekuttert (umgerötet)";717;771;1201;157;6693;2089;679;134;443;600;913;1109;326;5833;522;587;45;560;574;144;469;665
"Avocado";91;78;183;0;637;196;91;0;0;65;117;117;0;730;78;78;0;91;78;0;0;104
"Hirschsalami";1214;1397;1999;265;11332;3641;1117;123;610;1076;1670;1809;552;9960;883;1071;41;918;970;243;762;1095
"Cashewnuss geröstet und gesalzen";633;1583;1362;285;8360;3293;728;0;317;839;1156;633;253;7394;713;618;0;760;554;332;523;1172
"Geflügelknackwurst";1140;1281;1893;216;10151;3130;1034;97;700;1002;1521;1733;523;8981;731;942;32;842;822;188;352;1082
"Knacker einfach, Schüblinge einfach";677;725;1127;146;6282;1955;630;81;415;565;862;1039;305;5456;489;547;27;520;537;134;438;627
"Kiwi";45;35;90;5;315;100;35;19;15;30;50;50;10;345;25;35;6;40;30;10;20;35
"Erbswurst";533;911;1172;135;5874;1808;506;72;316;585;823;844;181;4991;504;467;24;505;462;111;399;603
"Schnittkäse aus Ziegenmilch (50% Fett i. Tr.)";600;670;1490;130;12740;5190;400;0;690;1090;2300;1890;560;11670;1310;2770;0;1220;1040;300;1050;1710
"Milzwurst";1003;1066;1604;197;9122;2662;850;163;566;858;1349;1471;417;7538;711;731;54;688;761;190;584;952
"Deutsche Salami";1091;1173;1826;237;10176;3177;1032;139;675;912;1389;1683;496;8872;793;893;46;853;873;218;714;1013
"Haferkleieflocken";721;794;1178;356;6318;2812;776;100;274;557;1032;457;219;6902;712;767;33;648;484;173;520;740
"Leinsamen";1066;2235;2225;424;10948;4698;1376;0;517;952;1356;911;445;11321;1107;849;0;1107;869;393;590;1149
"Brötchen mit Sonnenblumenkernen";278;355;426;175;3194;2547;331;49;158;327;572;196;121;4876;389;879;16;415;241;85;214;361
"Sonnenblumenöl";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Geflügelmortadella gebraten (zubereitet ohne Fett)";845;814;1311;167;7085;2135;781;147;391;726;1026;1158;359;6247;533;614;49;561;598;162;453;698
"Zwieback";276;322;386;202;3391;3134;340;60;165;349;643;175;129;5735;441;1121;20;478;248;92;239;386
"Spaghetti gekocht, mit Butterflöckchen (Zubereitung Gastronomie)";142;165;199;103;1742;1607;174;23;85;180;331;91;66;2943;226;575;8;246;127;47;123;198
"Sonnenblumenkern roh";1120;2390;2420;450;12280;5770;1430;0;670;1100;1650;960;550;13030;1250;1170;0;1120;930;360;680;1290
"Macadamianuss roh";345;928;849;981;4588;1856;389;0;177;256;477;336;97;4209;274;407;0;363;274;107;345;336
"Chicoree frisch";56;62;143;9;568;159;52;15;21;85;87;65;16;524;59;68;5;46;49;14;36;65
"Weiße Graupenwurst";603;648;962;130;5602;1880;616;137;318;508;853;809;242;5276;492;688;46;527;469;128;404;601
"Mortadella süddeutsch, Zungenwurst";974;1042;1568;218;9011;2756;914;134;552;814;1295;1466;419;7713;720;740;45;761;768;195;615;907
"Hüttenkäse Halbfettstufe";340;416;781;63;6553;2633;202;0;365;680;1197;945;290;5984;580;1373;0;655;517;164;580;756
"Kasseler gebraten im Backofen ohne Fett";1409;1443;2360;291;13031;3713;1085;0;1029;1174;1980;2215;593;10423;984;906;0;950;1107;302;660;1253
"Whisky";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Margarine pflanzlich Linolsäure 30-50%";6;7;14;2;106;40;4;0;5;11;18;15;5;92;9;18;0;10;9;3;9;13
"Bohnen grün tiefgefroren";115;110;316;26;1094;282;100;46;58;106;164;150;34;1061;100;106;15;142;100;32;74;140
"Geflügelmortadella gekocht";1018;980;1579;201;8529;2571;940;181;471;874;1235;1395;432;7524;641;740;60;676;720;195;545;840
"Studentenfutter mit Erdnüssen";456;1866;1559;220;7471;2958;743;73;361;625;1009;551;158;7254;758;724;24;814;429;170;560;764
"Corned Beef";1345;1411;2062;239;11761;3472;955;140;738;1128;1758;1885;543;9505;890;890;47;781;955;239;738;1237
"Brötchen-Roggenmischbrötchen";249;253;384;123;2363;1689;266;44;125;234;401;190;87;3516;270;645;15;283;199;59;145;277
"Pfefferminztee (Getränk)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Erbsen grün Konserve";177;412;427;47;1997;626;164;99;91;186;267;259;43;1718;173;151;33;173;168;39;117;195
"Makrele roh Fischzuschnitt";1880;1160;2120;230;11420;3170;1410;145;840;1090;1800;1730;640;10270;840;790;48;900;970;270;640;1210
"Kürbiscremesuppe (Zubereitung Haushalt)";101;144;231;28;1416;574;79;4;65;147;245;172;59;1349;132;225;1;139;106;34;117;167
"Linsen-Eintopf (Zubereitung Gastronomie)";341;454;719;68;3334;1082;279;50;184;313;487;504;114;2974;291;272;17;281;273;71;214;361
"Hafer Schrot";561;760;959;292;5564;2618;585;102;257;526;877;421;175;5951;620;643;34;585;397;140;421;678
"Chilischote rot frisch";72;68;257;32;612;245;65;10;27;59;83;77;16;792;68;72;3;81;63;18;36;65
"Saure Sahne";102;102;229;25;1607;629;65;0;74;177;293;220;71;1477;143;291;0;161;127;40;143;192
"Papaya gegart";32;22;112;0;247;75;42;17;11;18;38;56;5;318;22;22;6;35;24;18;11;22
"Thunfisch Konserve in Öl, abgetropft";1231;1088;2257;266;10670;2975;862;148;1005;944;1477;1684;554;8822;698;677;49;820;882;206;820;1046
"Joghurt mit Magermilch angereichert teilentrahmt";142;146;323;39;2270;761;90;0;108;254;403;305;103;2008;202;460;0;232;181;60;202;267
"Zwiebelwurst";680;745;1138;164;6659;1799;635;110;423;581;960;1073;300;5459;575;626;37;581;565;152;435;686
"Johannisbeere schwarz Konfitüre";22;27;70;5;155;74;19;6;12;10;22;12;7;221;14;17;2;19;14;5;10;17
"Pökelwaren Pökelfleisch";1028;1078;1576;182;8988;2654;730;89;564;862;1343;1443;415;7265;680;680;30;597;730;182;564;945
"Pfälzer Saumagen";909;990;1601;200;8533;2824;857;126;553;767;1164;1398;410;7656;675;748;42;717;730;188;599;859
"Roggenfladenbrot";275;268;449;110;2428;1563;295;55;132;236;395;222;87;3471;264;614;18;275;217;61;146;290
"Spitzpaprika grün";47;44;166;21;399;159;42;10;18;39;54;50;11;514;44;47;3;53;41;12;23;42
"Fleischwurst Pariser";717;771;1201;157;6693;2089;679;134;443;600;913;1109;326;5833;522;587;45;560;574;144;469;665
"Kalbsleberwurst grob";813;862;1348;187;7709;2222;753;110;513;679;1088;1259;368;6476;634;695;37;645;651;169;509;790
"Erdnuss roh";810;3460;3310;430;14620;5630;1640;74;710;1230;2030;1100;310;14650;1540;1430;25;1830;850;320;1190;1450
"Apfelmus (Zubereitung Haushalt)";12;7;73;1;73;19;8;11;4;8;12;11;2;129;7;8;4;9;6;2;4;9
"Buchweizenbrot";256;307;366;161;2762;2009;276;54;136;276;480;204;106;3970;319;711;18;352;213;73;172;315
"Heidelbeere tiefgefroren";26;32;49;6;201;79;26;21;9;20;38;11;10;222;23;23;7;19;17;2;7;26
"Schwein Schinken roh geräuchert (Lachsschinken)";1006;1079;1682;219;9380;2925;951;127;622;841;1280;1553;457;8174;731;823;42;787;804;202;659;933
"Graubrot-Roggenbrot mit Käse";286;283;479;110;2714;1659;298;54;144;264;448;267;100;3696;290;671;18;303;239;68;176;325
"Blumenkohl tiefgefroren";177;132;374;37;1277;443;119;56;59;132;204;168;58;1436;93;146;19;177;132;40;42;180
"Dinkelbrötchen";383;550;594;222;4398;2780;439;102;235;412;689;353;174;5621;483;932;34;493;353;118;331;478
"Cocktailtomaten";26;18;121;1;209;337;18;11;13;23;30;29;7;546;24;16;4;28;23;6;12;23
"Käsespätzle (Zubereitung Haushalt)";295;351;506;127;3911;1755;216;13;181;416;656;396;178;3939;400;707;4;460;315;98;301;492
"Knäckebrot-Roggenbrot";438;426;715;175;3862;2489;469;88;210;376;629;353;138;5526;420;977;29;438;345;97;232;461
"Gurkensalat mit Joghurt (Zubereitung Haushalt)";40;56;83;9;540;257;31;6;25;58;89;73;22;554;46;90;2;53;44;13;43;62
"Müsli-Riegel";314;710;577;107;3206;1445;371;43;130;327;446;213;78;3470;295;384;14;379;199;86;217;398
"Schwein Rückenspeck";259;277;432;56;2411;752;244;0;160;216;329;399;118;2101;188;212;0;202;207;52;169;240
"Reisdrink";30,5;29,9;48,8;6,1;247,6;99,4;23,2;0;7,9;23,8;43,3;19,5;9,1;252,4;25,6;25,6;0;25;20,1;4,9;23,2;34,1
"Rostbratwurst";908;974;1519;198;8465;2642;859;106;560;759;1156;1404;412;7380;660;743;35;709;726;181;593;842
"Traubenzucker";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Mungobohnen reif";855;1317;2564;116;10417;3165;762;222;670;855;1617;1916;185;9218;1178;832;74;1040;762;277;554;970
"Laugengebäck";292;330;400;205;3496;3173;348;39;172;357;672;181;133;5842;452;1140;13;489;257;93;248;396
"Rind Mark";93;98;143;17;812;240;66;0;51;78;122;126;38;658;62;62;0;54;66;17;51;86
"Erdbeerkonfitüre";16;13;68;3;100;45;12;9;6;7;16;12;0;163;9;10;3;12;10;5;10;9
"Brathähnchen Brustfilet gekocht";1348;1573;2246;324;13028;3744;1223;171;749;1298;1872;2172;648;10684;999;1124;57;999;1048;275;873;1197
"Tiroler";1322;1412;2165;275;12134;3742;1172;169;793;1105;1694;1994;583;10398;940;1031;56;966;1028;258;829;1223
"Tomatensoße aus frischen Tomaten (Zubereitung Haushalt)";26;27;59;14;289;271;27;5;14;30;51;25;10;494;34;73;2;38;24;8;20;32
"Rind Milz frisch";932;1025;1622;224;9599;2144;1193;445;466;932;1621;1491;354;7550;839;764;148;895;839;205;522;1081
"Auberginenscheiben gebraten (Zubereitung Haushalt)";71;74;193;16;636;354;61;20;32;70;106;60;17;851;71;104;7;68;53;15;50;72
"Getreideerzeugnisse Frühstückscerealien";498;649;780;179;4533;2395;493;105;210;441;745;356;148;5572;491;871;35;535;336;113;334;531
"Krakauer";916;972;1464;180;8249;2501;748;92;530;767;1183;1345;390;6914;632;671;31;614;687;172;545;846
"Grünkohl tiefgefroren";213;260;354;52;1880;424;170;33;90;156;279;236;57;1515;160;198;11;156;156;57;141;236
"Aubergine frisch";61;60;186;6;489;210;47;20;25;56;77;53;11;602;52;51;7;47;43;11;40;55
"Porree frisch";90;114;170;13;753;340;74;40;36;67;112;112;25;815;63;67;13;74;74;16;38;83
"Kidney-Bohnen Konserve gegart abgetropft";247;345;726;49;2804;883;230;37;169;247;453;436;66;2637;314;212;12;339;242;54;151;278
"Grapefruit frisch";20;40;105;2;141;42;10;15;6;10;15;19;3;250;10;47;5;26;11;4;7;14
"Banane";46;54;115;2;492;105;43;25;77;38;84;58;9;398;35;40;8;49;38;18;21;58
"Stachelbeere frisch";36;44;116;8;256;128;32;15;20;16;36;20;12;372;24;28;5;32;24;8;16;28
"Bohne weiß frisch gegart";227;543;861;82;4771;1504;281;77;253;507;768;670;91;3652;498;326;26;453;390;82;344;543
"Hanfsamen";1225,5;2569,3;2557,8;487,4;12585,6;5400,7;1581,8;0;594,3;1094,4;1558,8;1047,3;511,6;13014,4;1272,6;976;0;1272,6;999;451,8;678,3;1320,9
"Rum";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Käsekuchen aus Mürbeteig";320;382;595;121;4457;1853;223;12;209;465;758;506;203;4290;438;791;4;508;361;112;353;549
"Gänseleberpastete";966;988;1603;250;9568;2367;913;221;654;800;1405;1546;444;7617;870;933;74;835;793;218;573;1027
"Fleischwurst Konserve";799;856;1330;171;7411;2309;744;93;490;667;1017;1222;360;6442;577;646;31;614;635;159;517;740
"Tomatensalat mit Essigmarinade und Zwiebeln (Zubereitung Haushalt)";29;43;107;10;261;294;27;10;12;22;33;37;7;506;24;21;3;28;25;9;16;23
"Bratwurst (Zubereitung Haushalt)";692;743;1160;152;6456;2015;655;85;427;578;881;1071;315;5629;504;566;28;541;553;138;453;641
"Touristenwurst einfach";1150;1229;1895;242;10602;3276;1037;136;696;962;1472;1749;511;9119;822;906;45;855;900;225;729;1065
"Buchweizen";435;717;816;181;4118;1541;590;150;190;336;535;499;154;4226;345;381;50;463;354;127;181;499
"Weizen Mehl Type 550";350;400;460;240;4270;3830;460;40;210;430;810;220;170;7090;540;1410;13;580;320;120;330;480
"Thunfisch Konserve abgetropft";1301;1150;2386;282;11280;3145;911;148;1062;998;1561;1780;586;9325;738;715;49;867;933;217;867;1106
"Weißbrot-Weizenbrot";229;255;321;153;2666;2298;263;42;131;273;498;157;101;4305;337;827;14;367;201;70;187;303
"Rind Rücken (Roastbeef) (mager) frisch gegart";1933;2026;2962;343;16899;4988;1372;153;1060;1621;2525;2714;779;13655;1278;1278;51;1122;1372;343;1060;1778
"Heidelbeere frisch";25;31;47;6;194;74;25;20;9;19;36;11;10;211;22;22;7;18;16;2;7;25
"Mischgemüse gedünstet (Zubereitung Großküche)";100;169;233;27;976;389;84;44;46;95;136;121;25;1002;88;101;15;95;83;22;59;105
"Rote Bete frisch";35;31;110;17;467;398;31;20;18;38;61;80;28;650;46;38;7;38;44;12;54;38
"Kapstachelbeere frisch";104;81;207;12;727;226;81;15;35;69;115;115;23;791;58;81;5;92;69;23;46;81
"Grünkern";377;484;527;215;4218;3259;495;125;204;420;721;291;161;6434;495;1227;42;549;312;108;323;484
"Weiße Lyoner";995;1069;1665;218;9278;2896;940;131;614;832;1266;1536;451;8087;724;814;44;777;796;199;650;923
"Weiße Bohnen in Tomatensoße (Zubereitung Haushalt)";92;211;340;35;1854;649;113;31;98;196;301;255;36;1514;195;141;10;179;151;33;133;210
"Erdnuss geröstet";810;3460;3310;430;14620;5630;1640;71;710;1230;2030;1100;310;14650;1540;1430;24;1830;850;320;1190;1450
"Brötchen-Roggenbrötchen";291;283;475;116;2566;1652;312;58;140;249;418;235;92;3670;279;649;19;291;229;64;154;307
"Endivien frisch";75;84;193;12;766;214;70;11;28;114;117;88;21;704;79;91;4;61;67;19;49;88
"Thüringer Rotwurst Konserve";1350;1416;2227;293;12456;3831;1270;195;842;1084;1736;2047;592;10852;999;1124;65;1050;1061;268;852;1266
"Leinöl";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Basmatireis ungekocht";569;649;888;125;4345;1797;466;87;193;387;750;331;193;4663;443;477;29;466;318;103;296;557
"Leberwurst grob";940;992;1569;224;9025;2546;890;148;607;783;1275;1476;430;7548;758;833;49;770;761;199;590;930
"Rote Bete Gemüsesaft";31;28;97;15;416;345;28;21;16;34;54;71;25;569;41;34;7;34;39;11;48;34
"Kolbacz";854;917;1432;186;7957;2486;806;106;527;713;1086;1317;388;6944;621;699;35;667;682;171;557;792
"Hefezopf aus Hefeteig fettarm";284;351;444;148;3285;1889;253;37;144;339;553;261;141;3981;369;692;12;419;261;83;231;404
"Johannisbeere schwarz frisch";59;72;189;13;419;203;52;15;33;26;59;33;20;601;39;46;5;52;39;13;26;46
"Fischstäbchen (Zubereitung Haushalt)";848;823;1295;169;7156;2355;605;109;353;671;1095;1158;350;6472;567;692;36;677;612;145;464;749
"Eisbergsalat frisch";43;48;110;7;438;122;40;11;16;65;68;50;12;402;45;52;4;35;38;11;28;50
"Geflügelsalami fettarm";1753;1918;2874;342;15690;4734;1605;168;1095;1521;2307;2633;813;13695;1126;1435;56;1294;1311;308;675;1641
"Gesülzter Hackbraten";1123;1133;1581;185;8776;2688;1281;91;531;806;1246;1412;407;8369;686;986;30;710;731;175;549;915
"Pizza margherita (Zubereitung Gastronomie)";257;294;413;146;3277;2459;276;47;173;320;591;288;131;4721;383;894;16;422;243;87;253;368
"Graubrot-Weizenmischbrot mit Sauermilch";280;297;412;162;2972;2183;287;48;151;305;524;227;114;4345;345;815;16;368;235;76;195;341
