name;Kategorie;Energie (kcal);Fett;Kohlenhydrate;Netto-Kohlenhydrate;Eiweiß, Proteingehalt;Ballaststoffe;Wasser;Alkohol (Ethanol);Mineralstoffe (Rohasche);organische Säuren;PRAL-Wert
Orange, Apfelsine;Früchte, Obst und Obsterzeugnisse;47;0,2;9,2;9,2;1;2,2;85,7;0;0,5;1,2;3,3
"Sojaeiweiß texturiert (""Sojafleisch"")";Vegetarische Produkte;285;0,5;0,2;0,2;69;16,6;7;0;4,7;0;9,4
Wollwurst, Geschwollene;Wurst, Fleischwaren;272;25,1;0,3;0,3;12,2;0;59,8;0;2,6;0;4,9
Lachs frisch;Fische, Krusten-, Schalen-, Weichtiere;131;6,3;0;NA;18,4;0;74;0;1,2;0;10,1
Bierschinken Konserve;Wurst, Fleischwaren;180;11,9;0,1;0,1;18,3;0;67;0;2,6;0,1;7,1
Bauernleberwurst;Wurst, Fleischwaren;356;31,8;1;NA;17,4;0,1;47,1;0;2,6;0;9,7
Fleischkäse im Teigmantel;Wurst, Fleischwaren;355;28,9;9,5;9,5;15;0,6;43,1;0;2,6;0,1;5,9
Bratwurst geräuchert;Wurst, Fleischwaren;287;22,9;0,2;0,2;20,7;0;52,7;0;3,5;0;7,9
Milchschokolade Vollmilch-Nuß;Süßwaren, Zucker, Bonbons, Schokolade, Brotaufstrich süß, Eis;521;32,4;49,1;49,1;8,5;5,6;1,8;0;2,3;0,2;2,9
Basmatireis gekocht;Cerealien, Getreide und Getreideprodukte, Reis;131;0,4;28,1;28,1;3,3;0,6;67,5;0;0,1;0;1,7
Vollkornteigwaren;Eier und Eierprodukte, Teigwaren;323;2,5;60,6;60,6;13,4;11,5;10,5;0;1,5;0;8,5
Brie;Milch, Milcherzeugnisse, Käse;362;33,2;0;NA;16,8;0;46,2;0;3,6;0,2;10,1
Pistazie geröstet und gesalzen;Hülsenfrüchte (reif), Schalenobst, Öl- und andere Samen;615;54,3;15,6;15,6;17,5;6;2,1;0;4,5;0;0,3
Magerquark;Milch, Milcherzeugnisse, Käse;75;0,2;4;NA;13,5;0;80,7;0;0,9;0,8;8,9
Pistazie geröstet;Hülsenfrüchte (reif), Schalenobst, Öl- und andere Samen;627;55,4;15,9;15,9;17,9;6,1;2,1;0;2,6;0;0,3
Milchspeiseeis Vanille;Süßwaren, Zucker, Bonbons, Schokolade, Brotaufstrich süß, Eis;85;2,4;13,2;13,2;2,3;0;81,4;0;0,5;0,2;0
"Rindergulasch ""deutsche Art"" (Zubereitung Haushalt)";Menükomponenten;104;6,9;2,6;2,6;7,7;1;80,4;0;1,2;0,1;2,5
Zwiebelleberwurst einfach;Wurst, Fleischwaren;330;31,3;0,6;0,6;12,4;0,1;53,2;0;2,3;0;6,6
Spinat tiefgefroren gegart;Gemüse und Gemüseerzeugnisse;20;0,4;0,5;0,5;2,9;3,1;90,6;0;1,5;1;7,1
Waldpilze;Kartoffeln und Kartoffelerzeugnisse, stärkereiche Pflanzenteile, Pilze;15;0,7;0,1;NA;2,1;7,6;88,4;0;1;0,1;3,9
Rind Steak (mager) frisch gegart;Fleisch (Rind, Kalb, Schwein, Hammel, Lamm);161;3,9;0;NA;31,2;0;63,9;0;1;0;15,3
Leberwurst Aachener Frankfurter;Wurst, Fleischwaren;357;32,9;1,3;1,3;14,9;0,2;48;0;2,8;0;8,3
Kidney-Bohnen;Hülsenfrüchte (reif), Schalenobst, Öl- und andere Samen;297;1,4;36,5;36,5;22,1;21,3;11;0;3,8;0,3;-8
Milchspeiseeis;Süßwaren, Zucker, Bonbons, Schokolade, Brotaufstrich süß, Eis;85;2,4;13,2;13,2;2,3;0;81,4;0;0,5;0,2;0
Dinkelvollkornbrötchen;Brot- und Kleingebäck;246;4,3;40,1;40,1;11;5,8;36,5;0;2,2;0;4,8
Grahambrötchen;Brot- und Kleingebäck;247;1,4;50,1;50,1;7,5;3,5;35,7;0;1,6;0;3,9
Sojabohnen reif frisch gegart;Hülsenfrüchte (reif), Schalenobst, Öl- und andere Samen;152;9,9;0,2;0,2;15,7;7,5;60,7;0;1,7;0,1;-1
Schokoladenpudding mit Vanillesoße (Zubereitung Großküche);Menükomponenten;130;3,3;21,6;21,6;3,1;0,6;70,5;0;0,8;0,2;0,3
Kaffee mit Milch und Zucker (Getränk);Alkoholfreie Getränke;12;0,1;2,3;2,3;0,3;0;97,1;0;0,1;0;1,3
"Maultaschen ""schwäbisch"" (Zubereitung Haushalt)";Menükomponenten;146;5,5;15,5;15,5;8,3;1,3;68,2;0;1;0,1;3,3
Teigwaren aus Hartgrieß;Eier und Eierprodukte, Teigwaren;348;1,2;70,5;70,5;12,5;5,1;10;0;0,8;0;6,3
Leberwurst fein;Wurst, Fleischwaren;328;29,4;1,5;1,5;15,2;0,1;51,1;0;2,6;0,1;9,2
Margarine halbfett Linolsäure <30%;Fette, Öle, Butter, Schmalz;362;40;0,4;0,4;1,6;0;56,8;0;1,2;0;0,8
Semmelbrösel;Brot- und Kleingebäck;358;2,1;73,5;73,5;10,1;5,3;6,8;0;2,2;0;4,7
Linsen gekeimt frisch;Hülsenfrüchte (reif), Schalenobst, Öl- und andere Samen;119;0,5;19,1;19,1;9;3,1;67,1;0;1;0,3;2,7
Tahini aus rohem Sesam;Vegetarische Produkte;583;48;21,2;21,2;17,8;5;3,3;0;4,7;0;19,8
Edelkastanien (Marone) gegart;Hülsenfrüchte (reif), Schalenobst, Öl- und andere Samen;197;2;41,1;41,1;3;8,8;44,3;0;0,9;0;8,6
Gemüsepaprika grün frisch;Gemüse und Gemüseerzeugnisse;20;0,3;2,9;2,9;1,2;3,6;91,1;0;0,6;0,3;2,5
Vollkornbrötchen mit Sonnenblumenkernen;Brot- und Kleingebäck;237;3,7;41,9;41,9;8,6;6,6;36,6;0;2,5;0;5,9
Wurstkuchen mit Mürbeteig;Wurst, Fleischwaren;333;23,5;15,3;15,3;15,4;0,9;42,5;0;2,2;0,2;8,1
Meerrettich frisch;Gemüse und Gemüseerzeugnisse;64;0,3;11,7;11,7;2,8;7,5;74,9;0;2,2;0,7;10,1
Pommes frites mit Mayonnaise;Menükomponenten;227;17,7;14,8;14,8;2,1;1,2;61,8;0;1,8;0,6;5,9
