"";"Butansäure/Buttersäure";"Hexansäure/Capronsäure";"Octansäure/Caprylsäure";"Decansäure/Caprinsäure";"Dodecansäure/Laurinsäure";"Tetradecansäure/Myristinsäure";"Pentadecansäure";"Hexadecansäure/Palmitinsäure";"Heptadecansäure";"Octadecansäure/Stearinsäure";"Eicosansäure/Arachinsäure";"Decosansäure/Behensäure";"Tetracosansäure/Lignocerinsäure";"Gesättigte Fettsäuren";"Tetradecensäure";"Pentadecensäure";"Hexadecensäure/Palmitoleinsäure";"Heptadecensäure";"Octadecensäure/Ölsäure";"Eicosensäure";"Decosensäure/Erucasäure";"Tetracosensäure/Nervonsäure";"Einfach ungesättigte Fettsäuren";"Hexadecadiensäure";"Hexadecatetraensäure";"Octadecadiensäure/Linolsäure omega-6";"ALA - Linolensäure/Octadecatriensäure omega-3";"Octadecatetraensäure/Stearidonsäure omega-3";"Nonadecatriensäure";"Eicosadiensäure omega-6";"Eicosatriensäure omega-3";"Eicosatetraensäure/Arachidonsäure omega-6";"EPA - Eicosapentaensäure omega-3";"Docosadiensäure omega-6";"Docosatriensäure omega-6";"Docosatetraensäure omega-6";"Docosapentaensäure omega-3";"DHA - Docosahexaensäure omega-3";"Mehrfach ungesättigte Fettsäuren";"Kurzkettige Fettsäuren";"Mittelkettige Fettsäuren";"Langkettige Fettsäuren";"Glycerin und Lipoide";"Cholesterin"
"Bohne weiß frisch gegart";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;82;153;0;0;0;73;0;0;0;0;527;395;0;0;0;9;0;50;0;0;0;0;0;0;0
"Hanfsamen";0;0;0;0;49,3;0;0;0;0;0;0;3,5;0;49,3;0;0;19,5;3000;0;3200;0;19,4;6,2;0;1729,4;0;10,8;0;0;32700;26500;0;0;0;1298;0;2961,8;0;6,2;0;29,1;1,7;15,9;0
"Rum";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Käsekuchen aus Mürbeteig";0;393;118;295;0;0;0;0;0;0;0;361;0;65;0;0;23;4448;0;7747;1094;99;109;0;3553;0;363;251;644;11952;838;437;0;0;1282;0;3724;142;131;76;0;0;1175;153
"Gänseleberpastete";0;0;370;0;14;0;0;0;0;0;0;27;0;8;0;0;126;7412;0;6171;1702;19;8;0;3689;0;511;0;0;15912;2329;0;0;0;2209;0;6767;0;8;0;0;0;197;0
"Fleischwurst Konserve";0;0;55;0;0;0;0;0;0;0;0;58;0;2;0;0;231;14254;0;10868;1547;5;2;0;6582;0;917;0;0;28567;3445;0;0;0;3844;0;13103;0;2;0;0;0;375;1
"Tomatensalat mit Essigmarinade und Zwiebeln (Zubereitung Haushalt)";0;0;0;0;26;4;0;0;0;0;0;0;0;15;0;0;7;898;0;491;211;0;0;0;254;0;5;0;0;3875;2486;0;0;0;185;0;882;0;0;0;7;0;4;0
"Bratwurst (Zubereitung Haushalt)";0;0;54;3;0;0;0;0;0;0;0;58;0;6;0;0;205;12241;0;9349;1415;12;5;0;5671;0;793;0;0;24540;2957;7;0;0;3258;0;11238;4;5;0;0;0;332;0
"Touristenwurst einfach";0;0;68;0;0;0;0;0;0;0;0;50;0;27;0;0;247;12628;0;9967;1459;64;28;0;6098;0;843;0;0;25447;2852;0;0;0;3301;0;11482;0;36;0;0;0;391;28
"Buchweizen";0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;523;0;300;346;0;0;0;235;0;0;0;0;1384;561;0;0;0;32;0;523;0;0;0;0;0;7;0
"Weizen Mehl Type 550";0;0;0;0;0;0;0;0;0;0;0;1;0;7;0;0;3;131;0;165;316;0;0;0;146;0;4;0;0;814;518;0;0;0;8;0;124;0;1;0;0;0;2;0
"Thunfisch Konserve abgetropft";0;0;69;0;0;266;0;0;0;0;0;0;0;26;0;0;266;3820;0;4526;1478;53;0;0;2982;0;466;0;0;13311;4965;0;0;0;1012;0;2796;0;0;0;0;0;453;26
"Weißbrot-Weizenbrot";0;0;0;7;8;31;0;0;0;0;0;26;0;12;0;0;33;282;0;321;227;2;0;0;182;0;29;0;0;1040;453;16;4;0;47;0;189;9;1;0;0;0;27;0
"Rind Rücken (Roastbeef) (mager) frisch gegart";0;0;72;0;0;0;0;0;0;0;0;4;0;11;0;0;7;1687;0;1735;332;40;36;0;940;0;127;0;0;3613;191;0;0;0;614;0;1481;0;18;0;0;0;108;36
"Heidelbeere frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74;0;36;120;0;0;0;26;0;2;0;0;480;370;0;0;0;10;0;72;0;0;0;0;0;0;0
"Mischgemüse gedünstet (Zubereitung Großküche)";0;0;0;1;0;63;0;0;0;0;0;15;0;13;0;0;71;717;0;456;118;0;0;0;272;0;53;0;0;1615;444;2;0;0;98;0;530;1;0;0;0;0;56;0
"Rote Bete frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;20;20;0;0;0;19;0;0;0;0;80;50;0;0;0;1;0;10;0;0;0;0;0;0;0
"Kapstachelbeere frisch";0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;185;0;259;220;0;0;0;211;0;9;0;0;880;436;0;0;0;35;0;176;0;0;0;0;0;9;0
"Grünkern";0;0;0;0;0;0;0;0;0;0;0;2;0;16;0;0;8;315;0;393;756;0;0;0;350;0;10;0;0;1944;1236;0;0;0;19;0;297;0;2;0;0;0;4;0
"Weiße Lyoner";0;0;65;0;0;0;0;0;0;0;0;40;0;11;0;0;180;9897;0;7671;1097;18;11;0;4660;0;631;0;0;19938;2370;0;0;0;2633;0;9075;0;11;0;0;0;298;0
"Weiße Bohnen in Tomatensoße (Zubereitung Haushalt)";0;0;0;1;0;43;0;0;0;0;0;10;0;9;0;0;48;482;0;290;107;0;0;0;183;0;34;0;0;1171;401;2;0;0;61;0;357;1;0;0;0;0;25;0
"Erdnuss geröstet";0;0;0;0;899;0;0;0;0;0;0;0;0;527;0;0;0;16731;0;6985;0;0;0;0;3999;0;0;0;0;0;0;0;0;0;1242;0;16731;0;0;0;318;0;0;0
"Brötchen-Roggenbrötchen";0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;4;107;0;136;267;0;0;0;127;0;3;0;0;701;458;0;0;0;6;0;100;0;0;0;0;0;1;0
"Endivien frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;53;40;0;0;0;48;0;0;0;0;160;102;0;0;0;2;0;5;0;0;0;0;0;3;0
"Thüringer Rotwurst Konserve";0;0;94;0;1;0;0;0;0;0;0;29;0;26;0;0;172;7379;0;5947;870;44;26;0;3667;0;449;0;0;15086;1760;0;0;0;1931;0;6732;0;26;0;0;0;223;0
"Leinöl";0;0;7;0;95;0;0;0;0;0;0;95;0;95;0;0;0;18168;0;9987;4378;95;0;0;5707;0;95;0;0;95122;66967;0;0;0;3805;0;18073;0;0;0;0;0;95;0
"Basmatireis ungekocht";0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;375;0;226;154;0;0;0;195;0;2;0;0;985;384;0;0;0;20;0;373;0;0;0;0;0;7;0
"Leberwurst grob";0;0;159;0;8;0;0;0;0;0;0;50;0;22;0;0;242;12603;0;9876;2102;57;23;0;5986;0;851;0;0;25723;3244;0;0;0;3369;0;11487;0;23;0;0;0;361;0
"Rote Bete Gemüsesaft";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;17;17;0;0;0;16;0;0;0;0;66;41;0;0;0;1;0;8;0;0;0;0;0;0;0
"Kolbacz";0;0;62;0;0;0;0;0;0;0;0;52;0;2;0;0;208;12785;0;9746;1396;5;2;0;5905;0;824;0;0;25647;3116;0;0;0;3442;0;11751;0;2;0;0;0;338;0
"Hefezopf aus Hefeteig fettarm";0;229;84;172;0;0;0;0;0;0;0;210;0;42;0;0;15;2809;0;4719;817;57;64;0;2230;0;227;146;375;7623;725;255;0;0;786;0;2369;83;77;45;0;0;687;89
"Johannisbeere schwarz frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;26;40;0;0;0;22;0;2;0;0;160;100;0;0;0;4;0;32;0;0;0;0;0;0;0
"Fischstäbchen (Zubereitung Haushalt)";0;0;67;424;0;5;0;0;0;0;0;3352;0;73;0;0;13;751;0;6795;764;5;0;0;839;0;59;35;35;6990;469;990;0;0;234;0;674;566;1;0;0;0;1266;0
"Eisbergsalat frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;31;40;0;0;0;27;0;3;0;0;160;119;0;0;0;4;0;7;0;0;0;0;0;0;0
"Geflügelsalami fettarm";0;0;69;0;0;1;0;0;0;0;0;14;0;7;0;0;53;2778;0;2703;466;11;24;0;1492;0;135;0;0;6179;698;0;0;0;977;0;2565;0;7;0;7;0;188;0
"Gesülzter Hackbraten";0;0;69;0;0;1;0;0;0;0;0;18;0;6;0;0;64;5958;0;4822;732;55;9;0;2894;0;522;0;0;11823;1043;0;0;0;1577;0;5279;0;29;0;0;0;243;83
"Pizza margherita (Zubereitung Gastronomie)";0;65;4;35;3;0;0;0;0;0;0;41;0;23;0;0;14;2681;0;1551;398;3;0;0;912;0;62;36;101;4716;636;51;0;0;241;0;2598;16;1;0;3;0;172;7
"Graubrot-Weizenmischbrot mit Sauermilch";0;12;1;9;0;0;0;0;0;0;0;11;0;5;0;0;4;201;0;327;250;3;3;0;198;0;11;8;20;900;405;13;0;0;38;0;177;4;4;2;0;0;35;4
"Preiselbeere Konfitüre";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;7;37;0;0;0;6;0;0;0;0;147;119;0;0;0;1;0;21;0;0;0;0;0;0;0
"Tomatensuppe (Zubereitung Haushalt)";0;48;4;36;0;0;0;0;0;0;0;44;0;7;0;0;3;480;0;909;101;13;13;0;402;0;41;31;79;1353;96;53;0;0;148;0;394;17;17;9;0;0;146;20
"Gerste Graupen";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;122;0;251;381;0;0;0;230;0;8;0;0;979;606;0;0;0;10;0;113;0;0;0;0;0;10;0
"Kräutertee (Getränk)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Kalb Muskelfleisch";0;0;70;0;0;0;0;0;0;0;0;1;0;0;0;0;1;246;0;253;222;7;7;0;134;0;24;0;0;588;89;0;0;0;85;0;208;0;5;0;0;0;21;6
"Vollkornmehl";0;0;0;0;0;0;0;0;0;0;0;2;0;14;0;0;7;275;0;344;661;0;0;0;306;0;8;0;0;1699;1080;0;0;0;17;0;260;0;2;0;0;0;3;0
"Grünkern Schrot";0;0;0;0;0;0;0;0;0;0;0;2;0;16;0;0;8;315;0;393;756;0;0;0;350;0;10;0;0;1944;1236;0;0;0;19;0;297;0;2;0;0;0;4;0
"Oliven schwarz";0;0;0;0;34;0;0;0;0;0;0;0;0;137;0;0;103;25601;0;5270;1575;34;0;0;4107;0;342;0;0;34225;3354;0;0;0;856;0;25156;0;0;0;34;0;68;0
"Geflügelwiener Würstchen erwärmt";0;0;44;0;0;1;0;0;0;0;0;10;0;7;0;0;43;2125;0;2020;364;8;21;0;1143;0;89;0;0;4664;519;0;0;0;774;0;1971;0;5;0;0;0;73;0
"Jagdwurst (Süddeutsche und Norddeutsche)";0;0;59;0;0;0;0;0;0;0;0;31;0;10;0;0;145;7869;0;6037;999;23;10;0;3690;0;515;0;0;15782;1876;0;0;0;2054;0;7199;0;10;0;0;0;219;0
"Margarine";0;0;7;76;0;3442;0;0;0;0;0;765;0;688;0;0;3824;36712;0;20342;3520;0;0;0;12160;0;2677;0;0;76328;19426;152;0;0;4589;0;26769;76;0;0;0;0;1988;0
"Sauerkraut Konserve abgetropft";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;21;0;49;55;0;0;0;43;0;1;0;0;221;151;0;0;0;4;0;20;0;0;0;0;0;1;0
"Grünkohl frisch gegart";0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;63;0;99;143;0;0;0;88;0;6;0;0;570;408;0;0;0;4;0;57;0;0;0;0;0;4;0
"Französische Schweinefleisch-Terrine";0;0;65;0;0;0;0;0;0;0;0;51;0;27;0;0;257;12668;0;9724;1982;69;27;0;5990;0;867;0;0;25382;2990;0;0;0;3188;0;11517;0;27;0;0;0;372;0
"Cabanossi";0;0;60;0;0;0;0;0;0;0;0;83;0;21;0;0;360;20564;0;15815;2624;53;27;0;9612;0;1359;0;0;41292;4913;0;0;0;5445;0;18810;0;22;0;0;0;579;8
"Couscous gekocht";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78;0;96;192;0;0;0;87;0;0;0;0;488;314;0;0;0;9;0;78;0;0;0;0;0;0;0
"Butterkäse";0;799;54;600;0;0;0;0;0;0;0;733;0;111;0;0;44;7083;0;14258;1293;200;222;0;6130;0;577;511;1310;20008;866;889;0;0;2243;0;5774;289;266;155;0;0;2376;311
"Rind Fett";0;0;100;0;0;0;0;0;0;0;0;92;0;0;0;0;184;48097;0;40833;4536;1012;0;0;24187;0;6070;0;0;91964;3034;0;0;0;11955;0;40096;0;552;0;0;0;3035;1747
"Orange, Apfelsine";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;38;0;0;0;0;34;0;6;0;0;0;0;0;0;0;2;0;48;0;0;0;0;0;1;0
"Sojaeiweiß texturiert (""Sojafleisch"")";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;83;0;65;32;0;0;0;47;0;1;0;0;428;280;0;0;0;16;0;81;0;0;0;0;0;1;0
"Wollwurst, Geschwollene";0;0;51;0;0;0;0;0;0;0;0;48;0;5;0;0;199;11829;0;9020;1368;12;5;0;5480;0;768;0;0;23704;2855;0;0;0;3154;0;10857;0;5;0;0;0;316;0
"Lachs frisch";0;0;35;0;6;308;0;0;0;0;0;0;0;6;0;0;479;2447;0;1616;634;57;0;34;1033;0;342;0;0;5706;1643;0;0;0;211;0;1312;0;29;0;0;6;274;0
"Bierschinken Konserve";0;0;60;0;0;0;0;0;0;0;0;23;0;6;0;0;102;5579;0;4282;687;13;6;0;2614;0;363;0;0;11194;1333;0;0;0;1465;0;5108;0;6;0;0;0;155;0
"Bauernleberwurst";0;0;154;0;8;0;0;0;0;0;0;59;0;22;0;0;274;14574;0;11456;2044;46;22;0;6934;0;946;0;0;29748;3718;0;0;0;3958;0;13332;0;22;0;0;0;407;0
"Fleischkäse im Teigmantel";0;120;77;90;11;1;0;0;0;0;0;155;0;27;0;0;189;12598;0;10855;1542;34;35;0;6191;0;809;76;196;26997;3873;133;0;0;3413;0;11493;43;41;23;3;0;651;48
"Bratwurst geräuchert";0;0;72;0;0;0;0;0;0;0;0;42;0;25;0;0;220;10604;0;8137;1708;64;25;0;5019;0;730;0;0;21222;2481;0;0;0;2647;0;9629;0;25;0;0;0;315;0
"Milchschokolade Vollmilch-Nuß";0;73;9;55;0;0;0;0;0;0;0;75;0;273;0;0;7;11732;0;17996;1458;18;20;0;7640;0;182;47;120;30764;1238;82;0;0;9499;0;11480;27;24;14;0;0;265;29
"Basmatireis gekocht";0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;115;0;71;47;0;0;0;60;0;0;0;0;304;118;0;0;0;7;0;115;0;0;0;0;0;2;0
"Vollkornteigwaren";0;0;0;0;0;0;0;0;0;0;0;2;0;14;0;0;7;291;0;364;700;0;0;0;324;0;9;0;0;1800;1145;0;0;0;18;0;275;0;2;0;0;0;4;0
"Brie";0;1129;93;847;0;0;0;0;0;0;0;1035;0;157;0;0;63;10009;0;20142;1826;282;314;0;8660;0;816;722;1851;28268;1223;1255;0;0;3169;0;8157;408;376;220;0;0;3357;439
"Pistazie geröstet und gesalzen";0;0;0;0;0;0;0;0;0;0;0;52;0;259;0;0;207;36594;0;7144;2553;0;0;0;6108;0;259;0;0;51761;8023;0;0;0;673;0;36128;0;0;0;0;0;52;0
"Magerquark";0;7;1;5;0;0;0;0;0;0;0;6;0;1;0;0;0;60;0;121;11;2;2;0;53;0;5;4;11;171;8;7;0;0;19;0;49;2;2;1;0;0;20;3
"Pistazie geröstet";0;0;0;0;0;0;0;0;0;0;0;53;0;264;0;0;211;37327;0;7286;2604;0;0;0;6230;0;264;0;0;52796;8183;0;0;0;686;0;36852;0;0;0;0;0;53;0
"Milchspeiseeis Vanille";0;82;9;62;0;0;0;0;0;0;0;76;0;12;0;0;5;732;0;1470;134;21;23;0;630;0;60;53;135;2065;90;92;0;0;231;0;596;30;28;16;0;0;245;32
"Rindergulasch ""deutsche Art"" (Zubereitung Haushalt)";0;30;24;22;19;3;0;0;0;0;0;33;0;20;0;0;12;2278;0;2194;413;38;25;0;1145;0;158;19;49;6435;2045;33;0;0;641;0;2024;11;25;6;5;0;186;50
"Zwiebelleberwurst einfach";0;0;122;11;2;0;0;0;0;0;0;57;0;39;0;0;238;14155;0;11761;1992;57;26;0;6972;0;922;0;0;29301;3396;11;0;0;4182;0;12936;0;20;12;0;0;421;21
"Spinat tiefgefroren gegart";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;43;70;0;0;0;35;0;6;0;0;281;211;0;0;0;6;0;21;0;0;0;0;0;2;0
"Waldpilze";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;161;136;0;0;0;149;0;2;0;0;544;374;0;0;0;10;0;7;0;0;0;0;0;2;0
"Rind Steak (mager) frisch gegart";0;0;72;0;0;0;0;0;0;0;0;4;0;11;0;0;7;1687;0;1735;332;40;36;0;940;0;127;0;0;3613;191;0;0;0;614;0;1481;0;18;0;0;0;108;36
"Leberwurst Aachener Frankfurter";0;0;142;0;8;0;0;0;0;0;0;61;0;14;0;0;266;15093;0;11774;2176;37;15;0;7092;0;997;0;0;30752;3885;0;0;0;4110;0;13815;0;15;0;0;0;437;0
"Kidney-Bohnen";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;103;0;169;315;0;0;0;151;0;0;0;0;1085;813;0;0;0;18;0;103;0;0;0;0;0;0;0
"Milchspeiseeis";0;82;9;62;0;0;0;0;0;0;0;76;0;12;0;0;5;732;0;1470;134;21;23;0;630;0;60;53;135;2065;90;92;0;0;231;0;596;30;28;16;0;0;245;32
"Dinkelvollkornbrötchen";0;0;0;0;22;0;0;0;0;0;0;5;0;9;0;0;15;897;0;541;576;1;1;0;384;0;5;0;0;3729;2291;0;0;0;111;0;876;0;0;0;6;0;3;0
"Grahambrötchen";0;0;0;7;8;33;0;0;0;0;0;27;0;13;0;0;35;305;0;347;260;2;0;0;201;0;31;0;0;1152;516;16;4;0;51;0;206;9;1;0;0;0;28;0
"Sojabohnen reif frisch gegart";0;0;0;0;9;0;0;0;0;0;0;9;0;28;0;0;18;2150;0;1378;692;0;0;0;983;0;18;0;0;9189;5661;0;0;0;331;0;2114;0;0;0;0;0;18;0
"Schokoladenpudding mit Vanillesoße (Zubereitung Großküche)";0;97;10;73;0;0;0;0;0;0;0;90;0;17;0;0;6;1012;0;1984;182;25;27;0;854;0;72;62;159;2870;141;108;0;0;407;0;851;35;33;18;0;0;291;38
"Kaffee mit Milch und Zucker (Getränk)";0;4;0;3;0;0;0;0;0;0;0;3;0;1;0;0;0;33;0;68;6;1;1;0;30;0;3;2;6;95;4;4;0;0;11;0;27;1;1;1;0;0;11;1
"Maultaschen ""schwäbisch"" (Zubereitung Haushalt)";0;0;73;0;0;0;0;0;0;0;0;6;0;10;0;0;24;2377;0;1887;580;16;3;0;1208;0;200;0;0;4928;664;0;0;0;562;0;2131;0;8;0;0;0;77;19
"Teigwaren aus Hartgrieß";0;0;0;0;0;0;0;0;0;0;0;1;0;7;0;0;3;139;0;176;336;0;0;0;156;0;4;0;0;864;549;0;0;0;9;0;132;0;1;0;0;0;2;0
"Leberwurst fein";0;0;160;0;9;0;0;0;0;0;0;54;0;13;0;0;236;13412;0;10504;2006;34;14;0;6317;0;885;0;0;27432;3516;0;0;0;3695;0;12277;0;14;0;0;0;368;0
"Margarine halbfett Linolsäure <30%";0;0;4;38;0;1721;0;0;0;0;0;382;0;344;0;0;1912;18357;0;10170;1760;0;0;0;6080;0;1338;0;0;38164;9713;76;0;0;2294;0;13386;38;0;0;0;0;994;0
"Semmelbrösel";0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;282;0;454;630;0;0;0;345;0;16;0;0;1470;734;0;0;0;75;0;266;0;0;0;0;0;24;0
"Linsen gekeimt frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;107;0;58;113;0;0;0;52;0;0;0;0;387;222;0;0;0;6;0;107;0;0;0;0;0;0;0
"Tahini aus rohem Sesam";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;18172;0;6470;2112;0;0;0;4359;0;138;0;0;45888;21246;0;0;0;2019;0;17988;0;0;0;0;0;92;0
"Edelkastanien (Marone) gegart";0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;18;1036;0;307;140;0;0;0;271;0;14;0;0;1854;511;0;0;0;20;0;1004;0;0;0;0;0;7;0
"Gemüsepaprika grün frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;54;60;0;0;0;37;0;1;0;0;240;167;0;0;0;10;0;18;0;0;0;0;0;7;0
"Vollkornbrötchen mit Sonnenblumenkernen";0;0;0;0;15;2;0;0;0;0;0;1;0;17;0;0;9;666;0;469;505;0;0;0;315;0;8;0;0;3160;2025;0;0;0;112;0;647;0;1;0;4;0;4;0
"Wurstkuchen mit Mürbeteig";0;323;109;242;0;0;0;0;0;0;0;320;0;54;0;0;117;9317;0;10703;1442;85;92;0;5530;0;657;206;529;21179;2046;358;0;0;2595;0;8263;116;110;62;0;0;1122;126
"Meerrettich frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;46;60;0;0;0;42;0;2;0;0;240;167;0;0;0;4;0;25;0;0;0;0;0;0;0
"Pommes frites mit Mayonnaise";0;0;17;86;159;374;0;0;0;0;0;308;0;110;0;0;407;5466;0;4041;902;41;0;0;1901;0;340;7;7;16609;7306;197;49;0;954;0;4336;111;11;0;17;0;336;9
"Vollkornbrot-Weizen, Roggenvollkornschrottoastbrot";0;0;0;35;37;147;0;0;0;0;0;124;0;41;0;0;151;1048;0;1215;453;12;0;0;578;0;127;2;2;3273;1092;80;20;0;206;0;621;45;3;0;0;0;132;2
"Heidelbeere Konfitüre";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;14;44;0;0;0;10;0;1;0;0;177;135;0;0;0;4;0;27;0;0;0;0;0;0;0
"Linsensuppe (Zubereitung Haushalt)";0;0;9;0;0;0;0;0;0;0;0;4;0;3;0;0;16;748;0;588;161;5;2;0;370;0;51;0;0;1592;256;0;0;0;182;0;679;0;2;0;0;0;22;0
"Gorgonzola";0;1061;102;796;0;0;0;0;0;0;0;973;0;147;0;0;59;9406;0;18928;1716;265;295;0;8138;0;767;678;1739;26566;1150;1179;0;0;2978;0;7666;383;354;206;0;0;3155;413
"Miso";0;0;0;0;6;0;0;0;0;0;0;6;0;17;0;0;11;1095;0;876;425;0;0;0;621;0;11;0;0;5645;3674;0;0;0;215;0;1073;0;0;0;0;0;11;0
"Brühwurst mit Fleischeinlage (nicht umgerötet)";0;0;100;0;0;0;0;0;0;0;0;43;0;12;0;0;179;10640;0;8355;1634;42;27;0;5033;0;719;0;0;21518;2523;0;0;0;2879;0;9699;0;20;1;0;0;326;15
"Geflügelmortadella fettarm";0;0;93;12;5;21;0;0;0;0;0;370;0;9;0;0;162;7759;0;6244;1592;75;0;0;3963;0;815;0;0;17488;3497;12;0;0;1435;0;6709;0;26;0;0;6;349;46
"Schweinebauch in Aspik";0;0;59;0;0;0;0;0;0;0;0;7;0;3;0;0;13;3093;0;3141;2448;81;80;0;1658;0;286;0;0;6951;717;0;0;0;1063;0;2630;0;52;0;0;0;277;84
"Linsen reif Konserve";0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;60;0;51;78;0;0;0;45;0;0;0;0;270;159;0;0;0;3;0;57;0;0;0;0;0;0;0
"Trüffelmosaikpastete";0;0;59;0;0;0;0;0;0;0;0;42;0;10;0;0;186;10369;0;7962;1222;21;10;0;4856;0;669;0;0;20822;2491;0;0;0;2739;0;9504;0;10;0;0;0;284;0
"Frikadelle (Zubereitung Großküche)";0;0;78;2;1;77;0;0;0;0;0;23;0;26;0;0;106;2566;0;2005;502;25;19;0;1194;0;191;0;0;5375;808;4;0;0;601;0;2156;2;11;0;0;0;120;17
"Mais";0;0;0;0;0;0;0;0;0;0;0;0;0;59;0;0;0;1375;0;513;532;0;0;0;382;0;29;0;0;3268;1380;0;0;0;72;0;1346;0;0;0;0;0;0;0
"Dosenschinken";0;0;53;0;0;0;0;0;0;0;0;7;0;7;0;0;46;1954;0;1504;386;20;7;0;940;0;140;0;0;3901;443;0;0;0;460;0;1761;0;7;0;0;0;63;0
"Champignonpastete";0;0;0;0;0;0;0;0;0;0;0;40;0;11;0;0;179;9835;0;7557;0;24;11;0;4615;0;640;0;0;0;0;0;0;0;2584;0;9005;0;11;0;0;0;272;0
"Kichererbsen";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;152;0;497;540;0;0;0;421;0;22;0;0;2160;1511;0;0;0;65;0;130;0;0;0;0;0;11;0
"Sardine Konserve in Öl, abgetropft";0;0;140;0;71;46;0;0;0;0;0;0;0;15;0;0;1570;5849;0;2480;771;10;0;0;1950;0;1520;1;1;11590;3262;0;0;0;270;0;2710;0;9;0;18;0;136;3
"Eierpastete";0;0;106;0;0;0;0;0;0;0;0;43;0;18;0;0;193;11487;0;8580;1486;21;11;0;5294;0;728;0;0;22860;2793;0;0;0;2899;0;10555;0;11;0;0;0;294;0
"Pflaumen frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;35;40;0;0;0;29;0;2;0;0;160;99;0;0;0;6;0;24;0;0;0;0;0;0;0
"Gurke";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;66;40;0;0;0;59;0;0;0;0;160;89;0;0;0;6;0;5;0;0;0;0;0;1;0
"Landjäger Würste";0;0;59;0;0;0;0;0;0;0;0;78;0;17;0;0;327;21039;0;16393;2565;111;20;0;9932;0;1581;0;0;41879;4447;0;0;0;5503;0;18990;0;54;0;0;0;698;121
"Rotkohl Konserve gegart";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;10;0;26;0;0;0;0;23;0;1;0;0;0;0;0;0;0;1;0;9;0;0;0;0;0;1;0
"Buschbohnen grün frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;51;48;0;0;0;43;0;1;0;0;192;133;0;0;0;8;0;7;0;0;0;0;0;0;0
"Plockwurst";0;0;95;0;0;0;0;0;0;0;0;68;0;7;0;0;271;17428;0;13535;1960;26;22;0;8136;0;1131;0;0;35062;4099;0;0;0;4793;0;15983;0;12;0;0;0;493;21
"Rote Rübe frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;20;20;0;0;0;19;0;0;0;0;80;50;0;0;0;1;0;10;0;0;0;0;0;0;0
"Putenschnitzel ""italienische Art"" (Zubereitung Gastronomie)";0;105;76;79;32;5;0;0;0;0;0;97;0;37;0;0;16;2519;0;2891;597;27;42;0;1408;0;135;67;172;8529;3408;117;0;0;633;0;2260;38;36;20;9;0;323;41
