"";"Butansäure/Buttersäure";"Hexansäure/Capronsäure";"Octansäure/Caprylsäure";"Decansäure/Caprinsäure";"Dodecansäure/Laurinsäure";"Tetradecansäure/Myristinsäure";"Pentadecansäure";"Hexadecansäure/Palmitinsäure";"Heptadecansäure";"Octadecansäure/Stearinsäure";"Eicosansäure/Arachinsäure";"Decosansäure/Behensäure";"Tetracosansäure/Lignocerinsäure";"Gesättigte Fettsäuren";"Tetradecensäure";"Pentadecensäure";"Hexadecensäure/Palmitoleinsäure";"Heptadecensäure";"Octadecensäure/Ölsäure";"Eicosensäure";"Decosensäure/Erucasäure";"Tetracosensäure/Nervonsäure";"Einfach ungesättigte Fettsäuren";"Hexadecadiensäure";"Hexadecatetraensäure";"Octadecadiensäure/Linolsäure omega-6";"ALA - Linolensäure/Octadecatriensäure omega-3";"Octadecatetraensäure/Stearidonsäure omega-3";"Nonadecatriensäure";"Eicosadiensäure omega-6";"Eicosatriensäure omega-3";"Eicosatetraensäure/Arachidonsäure omega-6";"EPA - Eicosapentaensäure omega-3";"Docosadiensäure omega-6";"Docosatriensäure omega-6";"Docosatetraensäure omega-6";"Docosapentaensäure omega-3";"DHA - Docosahexaensäure omega-3";"Mehrfach ungesättigte Fettsäuren";"Kurzkettige Fettsäuren";"Mittelkettige Fettsäuren";"Langkettige Fettsäuren";"Glycerin und Lipoide";"Cholesterin"
"Whisky";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Margarine pflanzlich Linolsäure 30-50%";0;0;7;765;306;535;0;0;0;0;0;3824;0;306;0;0;459;18813;0;23250;3520;0;0;0;9942;0;229;0;0;74644;34417;1836;0;0;3977;0;17590;1071;0;0;0;0;3059;0
"Bohnen grün tiefgefroren";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;56;53;0;0;0;47;0;1;0;0;211;146;0;0;0;9;0;8;0;0;0;0;0;0;0
"Geflügelmortadella gekocht";0;0;124;14;6;25;0;0;0;0;0;443;0;11;0;0;194;9292;0;7478;1906;90;0;0;4746;0;976;0;0;20943;4187;14;0;0;1719;0;8034;0;31;0;0;8;418;55
"Studentenfutter mit Erdnüssen";0;0;0;6;548;19;0;0;0;0;0;82;0;291;0;0;226;18979;0;5174;1513;19;0;0;2947;0;162;0;0;31623;7482;12;0;0;936;0;18572;6;0;0;208;0;131;0
"Corned Beef";0;0;70;0;0;0;0;0;0;0;0;5;0;16;0;0;11;2566;0;2639;504;60;55;0;1432;0;192;0;0;5496;291;0;0;0;934;0;2253;0;27;0;0;0;165;55
"Brötchen-Roggenmischbrötchen";0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;4;96;0;118;232;0;0;0;110;0;3;0;0;609;395;0;0;0;4;0;89;0;0;0;0;0;1;0
"Pfefferminztee (Getränk)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Erbsen grün Konserve";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;99;0;119;63;0;0;0;76;0;7;0;0;254;36;0;0;0;37;0;91;0;0;0;0;0;6;0
"Makrele roh Fischzuschnitt";0;0;82;0;0;1388;0;0;0;0;0;11;0;11;0;0;983;4768;0;3450;1190;64;0;54;1890;0;763;0;0;11119;2902;0;0;0;620;0;1570;0;54;0;0;54;800;11
"Kürbiscremesuppe (Zubereitung Haushalt)";0;107;11;80;0;0;0;0;0;0;0;98;0;18;0;0;7;1962;0;2048;255;27;30;0;927;0;88;68;175;4144;428;119;0;0;327;0;1776;39;36;20;0;0;321;41
"Linsen-Eintopf (Zubereitung Gastronomie)";0;0;9;0;0;13;0;0;0;0;0;3;0;3;0;0;10;580;0;499;138;7;4;0;302;0;43;0;0;1289;210;0;0;0;155;0;502;0;4;0;0;1;25;7
"Hafer Schrot";0;0;0;0;0;0;0;0;0;0;0;7;0;33;0;0;7;2560;0;1300;425;0;0;0;1153;0;20;0;0;6665;2805;0;0;0;87;0;2533;0;0;0;0;0;20;0
"Chilischote rot frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;48;60;0;0;0;35;0;2;0;0;240;171;0;0;0;12;0;19;0;0;0;0;0;1;0
"Saure Sahne";0;340;37;255;0;0;0;0;0;0;0;312;0;47;0;0;19;3015;0;6067;550;85;95;0;2610;0;246;217;557;8515;368;378;0;0;954;0;2457;123;113;66;0;0;1011;132
"Papaya gegart";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;27;0;31;20;0;0;0;24;0;14;0;0;80;22;0;0;0;1;0;13;0;0;0;0;0;5;0
"Thunfisch Konserve in Öl, abgetropft";0;0;69;0;66;115;0;0;0;0;0;0;0;48;0;0;125;3713;0;2946;1020;21;0;0;1749;0;195;0;0;14668;8009;0;0;0;853;0;3267;0;0;0;19;0;190;11
"Joghurt mit Magermilch angereichert teilentrahmt";0;51;6;38;0;0;0;0;0;0;0;47;0;7;0;0;3;453;0;909;83;13;14;0;390;0;37;33;84;1277;55;56;0;0;143;0;369;18;17;10;0;0;152;20
"Zwiebelwurst";0;0;588;0;6;8;0;0;0;0;0;39;0;9;0;0;218;10270;0;8198;1994;31;35;0;4902;0;664;0;0;21292;2824;0;0;0;2915;0;9345;0;17;0;0;0;279;0
"Johannisbeere schwarz Konfitüre";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;9;15;0;0;0;8;0;1;0;0;59;37;0;0;0;1;0;12;0;0;0;0;0;0;0
"Pökelwaren Pökelfleisch";0;0;51;0;0;0;0;0;0;0;0;7;0;12;0;0;13;3317;0;3143;499;75;40;0;1765;0;325;0;0;6762;302;0;0;0;1035;0;2845;0;37;0;0;0;212;94
"Pfälzer Saumagen";0;0;50;0;0;0;0;0;0;0;0;15;0;8;0;0;68;3115;0;2425;500;20;8;0;1502;0;211;0;0;6295;755;0;0;0;777;0;2828;0;8;0;0;0;95;0
"Roggenfladenbrot";0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;4;102;0;129;253;0;0;0;120;0;3;0;0;663;432;0;0;0;6;0;95;0;0;0;0;0;1;0
